cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Algete--piece--0-0--,1382.98,1,0,0,
piece,Algete--piece--0-1--,1450.23,7,0,0,
piece,Algete--piece--0-2--,0,0,0,0,
piece,Algete--piece--0-3--,0,0,0,0,
piece,Algete--piece--1-0--,1750,1,0,0,
piece,Algete--piece--1-1--,1594.12,6,0,0,
piece,Algete--piece--1-2--,1053.33,1,0,0,
piece,Algete--piece--1-3--,1362.73,1,0,0,
piece,Algete--piece--2-0--,1647.65,9,0,0,
piece,Algete--piece--2-1--,1606.73,30,9.09091,1,
piece,Algete--piece--2-2--,1745.01,17,7.45179,2,
piece,Algete--piece--2-3--,1633.14,11,0,0,
piece,Algete--piece--3-0--,0,0,0,0,
piece,Algete--piece--3-1--,1586.86,2,0,0,
piece,Algete--piece--3-2--,1677.76,16,0,0,
piece,Algete--piece--3-3--,1646.75,11,0,0,
