cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Aranjuez--piece--0-0--,0,0,0,0,
piece,Aranjuez--piece--0-1--,0,0,0,0,
piece,Aranjuez--piece--0-2--,0,0,0,0,
piece,Aranjuez--piece--0-3--,0,0,0,0,
piece,Aranjuez--piece--0-4--,0,0,0,0,
piece,Aranjuez--piece--1-0--,0,0,0,0,
piece,Aranjuez--piece--1-1--,0,0,0,0,
piece,Aranjuez--piece--1-2--,0,0,0,0,
piece,Aranjuez--piece--1-3--,0,0,0,0,
piece,Aranjuez--piece--1-4--,0,0,0,0,
piece,Aranjuez--piece--10-0--,0,0,0,0,
piece,Aranjuez--piece--10-1--,1515.55,3,7.1875,1,
piece,Aranjuez--piece--10-2--,1346.02,17,0,0,
piece,Aranjuez--piece--10-3--,1387.16,14,9.16667,1,
piece,Aranjuez--piece--10-4--,0,0,0,0,
piece,Aranjuez--piece--11-0--,0,0,0,0,
piece,Aranjuez--piece--11-1--,1111.11,1,0,0,
piece,Aranjuez--piece--11-2--,1468.44,4,0,0,
piece,Aranjuez--piece--11-3--,1695,2,0,0,
piece,Aranjuez--piece--11-4--,0,0,0,0,
piece,Aranjuez--piece--12-0--,0,0,0,0,
piece,Aranjuez--piece--12-1--,0,0,0,0,
piece,Aranjuez--piece--12-2--,1343.75,1,0,0,
piece,Aranjuez--piece--12-3--,0,0,0,0,
piece,Aranjuez--piece--12-4--,0,0,0,0,
piece,Aranjuez--piece--13-0--,0,0,0,0,
piece,Aranjuez--piece--13-1--,0,0,0,0,
piece,Aranjuez--piece--13-2--,0,0,0,0,
piece,Aranjuez--piece--13-3--,0,0,0,0,
piece,Aranjuez--piece--13-4--,0,0,0,0,
piece,Aranjuez--piece--2-0--,0,0,0,0,
piece,Aranjuez--piece--2-1--,0,0,0,0,
piece,Aranjuez--piece--2-2--,0,0,0,0,
piece,Aranjuez--piece--2-3--,0,0,0,0,
piece,Aranjuez--piece--2-4--,0,0,0,0,
piece,Aranjuez--piece--3-0--,0,0,0,0,
piece,Aranjuez--piece--3-1--,0,0,0,0,
piece,Aranjuez--piece--3-2--,1986.67,1,0,0,
piece,Aranjuez--piece--3-3--,0,0,0,0,
piece,Aranjuez--piece--3-4--,1424.59,2,0,0,
piece,Aranjuez--piece--4-0--,0,0,0,0,
piece,Aranjuez--piece--4-1--,0,0,0,0,
piece,Aranjuez--piece--4-2--,2072.07,1,0,0,
piece,Aranjuez--piece--4-3--,1604.72,9,0,0,
piece,Aranjuez--piece--4-4--,1467.09,11,0,0,
piece,Aranjuez--piece--5-0--,0,0,0,0,
piece,Aranjuez--piece--5-1--,0,0,0,0,
piece,Aranjuez--piece--5-2--,1243.85,4,6.31579,1,
piece,Aranjuez--piece--5-3--,442.105,1,0,0,
piece,Aranjuez--piece--5-4--,1358.14,9,0,0,
piece,Aranjuez--piece--6-0--,0,0,0,0,
piece,Aranjuez--piece--6-1--,1636.36,1,0,0,
piece,Aranjuez--piece--6-2--,1404.24,13,8.58128,5,
piece,Aranjuez--piece--6-3--,1619.67,30,8.98579,5,
piece,Aranjuez--piece--6-4--,1085.51,2,0,0,
piece,Aranjuez--piece--7-0--,0,0,0,0,
piece,Aranjuez--piece--7-1--,1668.53,4,0,0,
piece,Aranjuez--piece--7-2--,1746.8,22,7.43243,1,
piece,Aranjuez--piece--7-3--,1487.82,30,8.83065,4,
piece,Aranjuez--piece--7-4--,1278.45,8,0,0,
piece,Aranjuez--piece--8-0--,0,0,0,0,
piece,Aranjuez--piece--8-1--,1725,1,0,0,
piece,Aranjuez--piece--8-2--,1425.42,30,6.29412,2,
piece,Aranjuez--piece--8-3--,1313.42,30,4.07738,2,
piece,Aranjuez--piece--8-4--,1303.49,5,10,1,
piece,Aranjuez--piece--9-0--,0,0,0,0,
piece,Aranjuez--piece--9-1--,880,1,0,0,
piece,Aranjuez--piece--9-2--,1162.26,17,6.66209,2,
piece,Aranjuez--piece--9-3--,1299.77,30,6.11111,1,
piece,Aranjuez--piece--9-4--,1198.06,6,0,0,
