cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Arroyomolinos--piece--0-0--,0,0,0,0,
piece,Arroyomolinos--piece--0-1--,0,0,0,0,
piece,Arroyomolinos--piece--0-2--,1405.13,2,0,0,
piece,Arroyomolinos--piece--0-3--,1832.17,10,4.64286,2,
piece,Arroyomolinos--piece--0-4--,1615.38,1,0,0,
piece,Arroyomolinos--piece--0-5--,0,0,0,0,
piece,Arroyomolinos--piece--0-6--,0,0,0,0,
piece,Arroyomolinos--piece--1-0--,0,0,0,0,
piece,Arroyomolinos--piece--1-1--,0,0,0,0,
piece,Arroyomolinos--piece--1-2--,1480.38,9,0,0,
piece,Arroyomolinos--piece--1-3--,1623.74,9,8.98876,1,
piece,Arroyomolinos--piece--1-4--,1389.5,21,5.15698,4,
piece,Arroyomolinos--piece--1-5--,1319.21,6,0,0,
piece,Arroyomolinos--piece--1-6--,1116.2,13,0,0,
piece,Arroyomolinos--piece--2-0--,0,0,0,0,
piece,Arroyomolinos--piece--2-1--,1357.62,1,10.9091,1,
piece,Arroyomolinos--piece--2-2--,2135.15,21,7.16599,2,
piece,Arroyomolinos--piece--2-3--,1894.14,15,11.4215,2,
piece,Arroyomolinos--piece--2-4--,1654.44,26,8.53878,4,
piece,Arroyomolinos--piece--2-5--,1486.32,29,10.7486,3,
piece,Arroyomolinos--piece--2-6--,1418.86,6,0,0,
piece,Arroyomolinos--piece--3-0--,1485.71,17,0,0,
piece,Arroyomolinos--piece--3-1--,1315.8,16,0,0,
piece,Arroyomolinos--piece--3-2--,1572.9,11,6.81818,1,
piece,Arroyomolinos--piece--3-3--,1544.15,11,3.81526,1,
piece,Arroyomolinos--piece--3-4--,1680.74,8,9.72222,1,
piece,Arroyomolinos--piece--3-5--,1153.95,10,3.62998,1,
piece,Arroyomolinos--piece--3-6--,1266.71,29,5.15873,1,
piece,Arroyomolinos--piece--4-0--,0,0,0,0,
piece,Arroyomolinos--piece--4-1--,0,0,0,0,
piece,Arroyomolinos--piece--4-2--,0,0,0,0,
piece,Arroyomolinos--piece--4-3--,0,0,0,0,
piece,Arroyomolinos--piece--4-4--,1576.2,9,0,0,
piece,Arroyomolinos--piece--4-5--,1286.52,7,0,0,
piece,Arroyomolinos--piece--4-6--,1900,1,0,0,
piece,Arroyomolinos--piece--5-0--,0,0,0,0,
piece,Arroyomolinos--piece--5-1--,0,0,0,0,
piece,Arroyomolinos--piece--5-2--,0,0,0,0,
piece,Arroyomolinos--piece--5-3--,0,0,0,0,
piece,Arroyomolinos--piece--5-4--,1276.59,11,0,0,
piece,Arroyomolinos--piece--5-5--,1441.67,6,0,0,
piece,Arroyomolinos--piece--5-6--,0,0,0,0,
