cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Ciempozuelos--piece--0-0--,0,0,0,0,
piece,Ciempozuelos--piece--0-1--,0,0,0,0,
piece,Ciempozuelos--piece--0-2--,0,0,0,0,
piece,Ciempozuelos--piece--0-3--,1175,15,0,0,
piece,Ciempozuelos--piece--1-0--,0,0,0,0,
piece,Ciempozuelos--piece--1-1--,1858.89,4,0,0,
piece,Ciempozuelos--piece--1-2--,1202.72,11,0,0,
piece,Ciempozuelos--piece--1-3--,1194.07,23,0,0,
piece,Ciempozuelos--piece--2-0--,1207.56,3,0,0,
piece,Ciempozuelos--piece--2-1--,1254.67,10,0,0,
piece,Ciempozuelos--piece--2-2--,1287.42,30,7.0123,3,
piece,Ciempozuelos--piece--2-3--,1076.13,11,0,0,
piece,Ciempozuelos--piece--3-0--,1697.03,2,0,0,
piece,Ciempozuelos--piece--3-1--,1419.9,30,0,0,
piece,Ciempozuelos--piece--3-2--,1334.86,27,6.97694,3,
piece,Ciempozuelos--piece--3-3--,1045.36,10,0,0,
piece,Ciempozuelos--piece--4-0--,0,0,0,0,
piece,Ciempozuelos--piece--4-1--,0,0,0,0,
piece,Ciempozuelos--piece--4-2--,1263.75,9,0,0,
piece,Ciempozuelos--piece--4-3--,963.617,3,0,0,
piece,Ciempozuelos--piece--5-0--,0,0,0,0,
piece,Ciempozuelos--piece--5-1--,0,0,0,0,
piece,Ciempozuelos--piece--5-2--,0,0,0,0,
piece,Ciempozuelos--piece--5-3--,0,0,0,0,
