cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Colmenar Viejo--piece--0-0--,0,0,0,0,
piece,Colmenar Viejo--piece--0-1--,0,0,0,0,
piece,Colmenar Viejo--piece--0-2--,0,0,0,0,
piece,Colmenar Viejo--piece--0-3--,0,0,0,0,
piece,Colmenar Viejo--piece--0-4--,2266.38,5,9.65909,1,
piece,Colmenar Viejo--piece--0-5--,2309.09,1,9.54545,1,
piece,Colmenar Viejo--piece--0-6--,0,0,0,0,
piece,Colmenar Viejo--piece--1-0--,1410.93,1,0,0,
piece,Colmenar Viejo--piece--1-1--,1854.84,1,0,0,
piece,Colmenar Viejo--piece--1-2--,0,0,10.7143,1,
piece,Colmenar Viejo--piece--1-3--,0,0,0,0,
piece,Colmenar Viejo--piece--1-4--,0,0,0,0,
piece,Colmenar Viejo--piece--1-5--,1664.81,9,0,0,
piece,Colmenar Viejo--piece--1-6--,0,0,0,0,
piece,Colmenar Viejo--piece--2-0--,903.102,4,0,0,
piece,Colmenar Viejo--piece--2-1--,1536.95,26,0,0,
piece,Colmenar Viejo--piece--2-2--,1493.04,5,0,0,
piece,Colmenar Viejo--piece--2-3--,1640.11,5,0,0,
piece,Colmenar Viejo--piece--2-4--,1697.82,11,0,0,
piece,Colmenar Viejo--piece--2-5--,2043.88,2,0,0,
piece,Colmenar Viejo--piece--2-6--,0,0,0,0,
piece,Colmenar Viejo--piece--3-0--,2035.98,5,0,0,
piece,Colmenar Viejo--piece--3-1--,2359.49,5,0,0,
piece,Colmenar Viejo--piece--3-2--,1604.43,5,4.53333,1,
piece,Colmenar Viejo--piece--3-3--,1781.5,11,0,0,
piece,Colmenar Viejo--piece--3-4--,1395.88,30,0,0,
piece,Colmenar Viejo--piece--3-5--,1138.81,1,0,0,
piece,Colmenar Viejo--piece--3-6--,0,0,0,0,
piece,Colmenar Viejo--piece--4-0--,1831.71,20,0,0,
piece,Colmenar Viejo--piece--4-1--,1599.03,2,0,0,
piece,Colmenar Viejo--piece--4-2--,1570.08,19,6.75036,2,
piece,Colmenar Viejo--piece--4-3--,1704.24,30,15.2,3,
piece,Colmenar Viejo--piece--4-4--,1959.15,7,0,0,
piece,Colmenar Viejo--piece--4-5--,1810.85,2,0,0,
piece,Colmenar Viejo--piece--4-6--,0,0,0,0,
piece,Colmenar Viejo--piece--5-0--,1600.01,5,0,0,
piece,Colmenar Viejo--piece--5-1--,1471.25,4,0,0,
piece,Colmenar Viejo--piece--5-2--,1678.95,11,7.97872,1,
piece,Colmenar Viejo--piece--5-3--,1425.38,27,8.27586,2,
piece,Colmenar Viejo--piece--5-4--,1736.84,2,0,0,
piece,Colmenar Viejo--piece--5-5--,0,0,0,0,
piece,Colmenar Viejo--piece--5-6--,0,0,0,0,
piece,Colmenar Viejo--piece--6-0--,0,0,0,0,
piece,Colmenar Viejo--piece--6-1--,2152.85,13,0,0,
piece,Colmenar Viejo--piece--6-2--,2052.28,2,0,0,
piece,Colmenar Viejo--piece--6-3--,2159.21,2,0,0,
piece,Colmenar Viejo--piece--6-4--,0,0,0,0,
piece,Colmenar Viejo--piece--6-5--,0,0,0,0,
piece,Colmenar Viejo--piece--6-6--,0,0,0,0,
piece,Colmenar Viejo--piece--7-0--,0,0,0,0,
piece,Colmenar Viejo--piece--7-1--,0,0,0,0,
piece,Colmenar Viejo--piece--7-2--,0,0,0,0,
piece,Colmenar Viejo--piece--7-3--,0,0,0,0,
piece,Colmenar Viejo--piece--7-4--,0,0,0,0,
piece,Colmenar Viejo--piece--7-5--,0,0,0,0,
piece,Colmenar Viejo--piece--7-6--,0,0,0,0,
