cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Galapagar--piece--0-0--,1800.49,8,10,1,
piece,Galapagar--piece--0-1--,0,0,0,0,
piece,Galapagar--piece--0-2--,0,0,0,0,
piece,Galapagar--piece--0-3--,0,0,0,0,
piece,Galapagar--piece--0-4--,1455.88,1,0,0,
piece,Galapagar--piece--0-5--,1289.78,15,0,0,
piece,Galapagar--piece--0-6--,1455.88,1,0,0,
piece,Galapagar--piece--0-7--,0,0,0,0,
piece,Galapagar--piece--0-8--,0,0,0,0,
piece,Galapagar--piece--1-0--,0,0,0,0,
piece,Galapagar--piece--1-1--,0,0,0,0,
piece,Galapagar--piece--1-2--,0,0,0,0,
piece,Galapagar--piece--1-3--,865.385,1,0,0,
piece,Galapagar--piece--1-4--,0,0,0,0,
piece,Galapagar--piece--1-5--,1127.84,3,0,0,
piece,Galapagar--piece--1-6--,0,0,0,0,
piece,Galapagar--piece--1-7--,0,0,0,0,
piece,Galapagar--piece--1-8--,1610.85,14,6.39881,2,
piece,Galapagar--piece--2-0--,2958.33,2,0,0,
piece,Galapagar--piece--2-1--,0,0,0,0,
piece,Galapagar--piece--2-2--,0,0,0,0,
piece,Galapagar--piece--2-3--,1229.17,1,0,0,
piece,Galapagar--piece--2-4--,1059.19,1,0,0,
piece,Galapagar--piece--2-5--,1496.56,10,0,0,
piece,Galapagar--piece--2-6--,1743.24,2,0,0,
piece,Galapagar--piece--2-7--,0,0,0,0,
piece,Galapagar--piece--2-8--,657.009,2,0,0,
piece,Galapagar--piece--3-0--,1703.93,4,0,0,
piece,Galapagar--piece--3-1--,0,0,0,0,
piece,Galapagar--piece--3-2--,0,0,0,0,
piece,Galapagar--piece--3-3--,1.14007,1,0,0,
piece,Galapagar--piece--3-4--,1492.25,1,9,1,
piece,Galapagar--piece--3-5--,1749.5,30,0,0,
piece,Galapagar--piece--3-6--,1495.09,30,7.67045,2,
piece,Galapagar--piece--3-7--,1490.58,4,0,0,
piece,Galapagar--piece--3-8--,1543.33,3,0,0,
piece,Galapagar--piece--4-0--,0,0,0,0,
piece,Galapagar--piece--4-1--,0,0,0,0,
piece,Galapagar--piece--4-2--,0,0,0,0,
piece,Galapagar--piece--4-3--,0,0,0,0,
piece,Galapagar--piece--4-4--,0,0,0,0,
piece,Galapagar--piece--4-5--,1607.29,27,9.54054,4,
piece,Galapagar--piece--4-6--,1434.36,29,13.4444,11,
piece,Galapagar--piece--4-7--,1561.38,7,4.5,1,
piece,Galapagar--piece--4-8--,1371.88,6,0,0,
piece,Galapagar--piece--5-0--,0,0,0,0,
piece,Galapagar--piece--5-1--,0,0,5,1,
piece,Galapagar--piece--5-2--,1660.38,2,0,0,
piece,Galapagar--piece--5-3--,1170.63,1,0,0,
piece,Galapagar--piece--5-4--,1354,5,0,0,
piece,Galapagar--piece--5-5--,0,0,0,0,
piece,Galapagar--piece--5-6--,2103.67,6,0,0,
piece,Galapagar--piece--5-7--,1857.14,1,0,0,
piece,Galapagar--piece--5-8--,1493.56,1,0,0,
piece,Galapagar--piece--6-0--,0,0,0,0,
piece,Galapagar--piece--6-1--,1765.74,3,0,0,
piece,Galapagar--piece--6-2--,1256.18,9,0,0,
piece,Galapagar--piece--6-3--,0,0,0,0,
piece,Galapagar--piece--6-4--,1636.45,3,0,0,
piece,Galapagar--piece--6-5--,1335.53,2,4.79705,1,
piece,Galapagar--piece--6-6--,1575,2,0,0,
piece,Galapagar--piece--6-7--,1333.33,1,0,0,
piece,Galapagar--piece--6-8--,0,0,0,0,
piece,Galapagar--piece--7-0--,1473.91,1,6.92857,1,
piece,Galapagar--piece--7-1--,2289.33,3,6.82759,1,
piece,Galapagar--piece--7-2--,2620.85,3,0,0,
piece,Galapagar--piece--7-3--,1798.25,1,0,0,
piece,Galapagar--piece--7-4--,1502.43,4,5.55556,1,
piece,Galapagar--piece--7-5--,2096.8,1,0,0,
piece,Galapagar--piece--7-6--,2179.56,3,0,0,
piece,Galapagar--piece--7-7--,0,0,0,0,
piece,Galapagar--piece--7-8--,0,0,0,0,
piece,Galapagar--piece--8-0--,0,0,0,0,
piece,Galapagar--piece--8-1--,1369.83,3,0,0,
piece,Galapagar--piece--8-2--,2122.58,4,0,0,
piece,Galapagar--piece--8-3--,2213.8,2,0,0,
piece,Galapagar--piece--8-4--,0,0,0,0,
piece,Galapagar--piece--8-5--,1880,1,0,0,
piece,Galapagar--piece--8-6--,0,0,0,0,
piece,Galapagar--piece--8-7--,0,0,0,0,
piece,Galapagar--piece--8-8--,0,0,0,0,
