cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Las Rozas de Madrid--piece--0-0--,3382.72,10,11.4286,5,
piece,Las Rozas de Madrid--piece--0-1--,3585.7,21,12.3734,6,
piece,Las Rozas de Madrid--piece--0-2--,3864.45,6,0,0,
piece,Las Rozas de Madrid--piece--0-3--,0,0,0,0,
piece,Las Rozas de Madrid--piece--0-4--,0,0,0,0,
piece,Las Rozas de Madrid--piece--0-5--,0,0,0,0,
piece,Las Rozas de Madrid--piece--1-0--,0,0,0,0,
piece,Las Rozas de Madrid--piece--1-1--,0,0,0,0,
piece,Las Rozas de Madrid--piece--1-2--,1559.29,6,7,1,
piece,Las Rozas de Madrid--piece--1-3--,0,0,0,0,
piece,Las Rozas de Madrid--piece--1-4--,2774.52,10,6.96387,2,
piece,Las Rozas de Madrid--piece--1-5--,0,0,0,0,
piece,Las Rozas de Madrid--piece--2-0--,0,0,0,0,
piece,Las Rozas de Madrid--piece--2-1--,0,0,0,0,
piece,Las Rozas de Madrid--piece--2-2--,3033,9,9.78098,3,
piece,Las Rozas de Madrid--piece--2-3--,2400.28,5,14.6154,1,
piece,Las Rozas de Madrid--piece--2-4--,2013.34,12,11.2014,5,
piece,Las Rozas de Madrid--piece--2-5--,0,0,0,0,
piece,Las Rozas de Madrid--piece--3-0--,0,0,0,0,
piece,Las Rozas de Madrid--piece--3-1--,3318.69,9,14.7939,4,
piece,Las Rozas de Madrid--piece--3-2--,2635.1,16,8.13492,7,
piece,Las Rozas de Madrid--piece--3-3--,2703.11,26,9.42857,3,
piece,Las Rozas de Madrid--piece--3-4--,1742.97,8,11.8524,7,
piece,Las Rozas de Madrid--piece--3-5--,0,0,0,0,
piece,Las Rozas de Madrid--piece--4-0--,0,0,0,0,
piece,Las Rozas de Madrid--piece--4-1--,2.4024,1,0,0,
piece,Las Rozas de Madrid--piece--4-2--,1695.26,14,0,0,
piece,Las Rozas de Madrid--piece--4-3--,2988.41,27,10.1105,8,
piece,Las Rozas de Madrid--piece--4-4--,3062.87,11,0,0,
piece,Las Rozas de Madrid--piece--4-5--,2563.55,9,9.87239,6,
piece,Las Rozas de Madrid--piece--5-0--,0,0,0,0,
piece,Las Rozas de Madrid--piece--5-1--,0,0,0,0,
piece,Las Rozas de Madrid--piece--5-2--,2501.39,3,0,0,
piece,Las Rozas de Madrid--piece--5-3--,3407.93,30,13.8844,13,
piece,Las Rozas de Madrid--piece--5-4--,2510.01,6,12.0846,5,
piece,Las Rozas de Madrid--piece--5-5--,1809.84,6,9.65517,1,
piece,Las Rozas de Madrid--piece--6-0--,0,0,0,0,
piece,Las Rozas de Madrid--piece--6-1--,0,0,0,0,
piece,Las Rozas de Madrid--piece--6-2--,2196.9,5,12.5,1,
piece,Las Rozas de Madrid--piece--6-3--,2320.63,9,7.43732,2,
piece,Las Rozas de Madrid--piece--6-4--,2395.99,18,9.23534,2,
piece,Las Rozas de Madrid--piece--6-5--,2522.78,10,11.5771,2,
piece,Las Rozas de Madrid--piece--7-0--,0,0,0,0,
piece,Las Rozas de Madrid--piece--7-1--,0,0,0,0,
piece,Las Rozas de Madrid--piece--7-2--,3517.86,1,0,0,
piece,Las Rozas de Madrid--piece--7-3--,2905.8,13,0,0,
piece,Las Rozas de Madrid--piece--7-4--,1351.36,2,6.62857,1,
piece,Las Rozas de Madrid--piece--7-5--,1559.19,15,7.95281,8,
piece,Las Rozas de Madrid--piece--8-0--,0,0,0,0,
piece,Las Rozas de Madrid--piece--8-1--,0,0,0,0,
piece,Las Rozas de Madrid--piece--8-2--,0,0,0,0,
piece,Las Rozas de Madrid--piece--8-3--,0,0,0,0,
piece,Las Rozas de Madrid--piece--8-4--,0,0,0,0,
piece,Las Rozas de Madrid--piece--8-5--,2424.06,3,8.25,1,
