cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Madrid--piece--0-0--,0,0,0,0,
piece,Madrid--piece--0-1--,0,0,0,0,
piece,Madrid--piece--0-10--,3774.87,7,0,0,
piece,Madrid--piece--0-11--,1309.63,8,14.5129,4,
piece,Madrid--piece--0-12--,1573.78,8,18.7356,4,
piece,Madrid--piece--0-13--,2350.77,23,8.20372,3,
piece,Madrid--piece--0-14--,2888.44,16,10.1107,2,
piece,Madrid--piece--0-15--,3623.55,4,0,0,
piece,Madrid--piece--0-16--,3936.03,23,12.7326,13,
piece,Madrid--piece--0-17--,0,0,0,0,
piece,Madrid--piece--0-18--,2.04573,4,11.9221,2,
piece,Madrid--piece--0-19--,1379.61,7,7.28571,1,
piece,Madrid--piece--0-2--,0,0,0,0,
piece,Madrid--piece--0-20--,3.45092,5,12.0833,1,
piece,Madrid--piece--0-21--,2647.45,16,9.74074,3,
piece,Madrid--piece--0-22--,3487.24,8,11.045,4,
piece,Madrid--piece--0-23--,0,0,0,0,
piece,Madrid--piece--0-24--,0,0,8.55556,1,
piece,Madrid--piece--0-25--,0,0,0,0,
piece,Madrid--piece--0-26--,0,0,0,0,
piece,Madrid--piece--0-27--,2568.18,1,0,0,
piece,Madrid--piece--0-28--,0,0,0,0,
piece,Madrid--piece--0-29--,0,0,0,0,
piece,Madrid--piece--0-3--,0,0,0,0,
piece,Madrid--piece--0-30--,0,0,0,0,
piece,Madrid--piece--0-31--,0,0,0,0,
piece,Madrid--piece--0-32--,0,0,0,0,
piece,Madrid--piece--0-33--,0,0,0,0,
piece,Madrid--piece--0-34--,0,0,0,0,
piece,Madrid--piece--0-35--,0,0,0,0,
piece,Madrid--piece--0-36--,0,0,0,0,
piece,Madrid--piece--0-37--,0,0,0,0,
piece,Madrid--piece--0-4--,0,0,0,0,
piece,Madrid--piece--0-5--,0,0,0,0,
piece,Madrid--piece--0-6--,0,0,0,0,
piece,Madrid--piece--0-7--,0,0,0,0,
piece,Madrid--piece--0-8--,0,0,0,0,
piece,Madrid--piece--0-9--,7375,1,0,0,
piece,Madrid--piece--1-0--,0,0,0,0,
piece,Madrid--piece--1-1--,0,0,0,0,
piece,Madrid--piece--1-10--,3791.14,20,12.9995,4,
piece,Madrid--piece--1-11--,5.91667,2,8.83892,6,
piece,Madrid--piece--1-12--,2295.66,16,11.3523,9,
piece,Madrid--piece--1-13--,1256.17,15,10.0457,1,
piece,Madrid--piece--1-14--,2517.11,16,13.9039,2,
piece,Madrid--piece--1-15--,2380.76,11,13.1649,13,
piece,Madrid--piece--1-16--,0,0,0,0,
piece,Madrid--piece--1-17--,0,0,0,0,
piece,Madrid--piece--1-18--,2.53635,5,0,0,
piece,Madrid--piece--1-19--,2.40551,8,7.91667,3,
piece,Madrid--piece--1-2--,0,0,0,0,
piece,Madrid--piece--1-20--,1188.38,5,7.80719,2,
piece,Madrid--piece--1-21--,3169.82,8,9.52381,1,
piece,Madrid--piece--1-22--,3532.8,16,10.8106,3,
piece,Madrid--piece--1-23--,4486.88,3,0,0,
piece,Madrid--piece--1-24--,0,0,7.77778,1,
piece,Madrid--piece--1-25--,0,0,0,0,
piece,Madrid--piece--1-26--,0,0,0,0,
piece,Madrid--piece--1-27--,2384.62,1,7.54945,2,
piece,Madrid--piece--1-28--,0,0,0,0,
piece,Madrid--piece--1-29--,0,0,0,0,
piece,Madrid--piece--1-3--,0,0,0,0,
piece,Madrid--piece--1-30--,0,0,0,0,
piece,Madrid--piece--1-31--,0,0,0,0,
piece,Madrid--piece--1-32--,0,0,0,0,
piece,Madrid--piece--1-33--,0,0,0,0,
