cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Mejorada del Campo--piece--0-0--,1069.16,6,0,0,
piece,Mejorada del Campo--piece--0-1--,1725.68,29,8.75,1,
piece,Mejorada del Campo--piece--0-2--,1871.96,8,0,0,
piece,Mejorada del Campo--piece--0-3--,0,0,0,0,
piece,Mejorada del Campo--piece--1-0--,1404.77,9,0,0,
piece,Mejorada del Campo--piece--1-1--,1613.57,30,7.24645,4,
piece,Mejorada del Campo--piece--1-2--,1422.42,15,7.5,1,
piece,Mejorada del Campo--piece--1-3--,1578.62,3,0,0,
piece,Mejorada del Campo--piece--2-0--,1354.59,20,0,0,
piece,Mejorada del Campo--piece--2-1--,1479.86,29,6.87922,2,
piece,Mejorada del Campo--piece--2-2--,1451.03,22,7.64706,1,
piece,Mejorada del Campo--piece--2-3--,1479.17,1,0,0,
piece,Mejorada del Campo--piece--3-0--,1251.23,4,8.18182,1,
piece,Mejorada del Campo--piece--3-1--,1386.05,15,0,0,
piece,Mejorada del Campo--piece--3-2--,1446.17,11,4.19913,3,
piece,Mejorada del Campo--piece--3-3--,0,0,0,0,
