cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Navalcarnero--piece--0-0--,0,0,0,0,
piece,Navalcarnero--piece--0-1--,1315.79,1,0,0,
piece,Navalcarnero--piece--0-2--,1291.67,1,0,0,
piece,Navalcarnero--piece--0-3--,1118.18,13,3.93013,1,
piece,Navalcarnero--piece--0-4--,1018.66,13,0,0,
piece,Navalcarnero--piece--1-0--,0,0,0,0,
piece,Navalcarnero--piece--1-1--,0,0,0,0,
piece,Navalcarnero--piece--1-2--,1136.8,4,0,0,
piece,Navalcarnero--piece--1-3--,1418.79,25,0,0,
piece,Navalcarnero--piece--1-4--,1254.87,15,0,0,
piece,Navalcarnero--piece--2-0--,0,0,0,0,
piece,Navalcarnero--piece--2-1--,0,0,0,0,
piece,Navalcarnero--piece--2-2--,1630.98,5,0,0,
piece,Navalcarnero--piece--2-3--,1510.9,30,7.99412,6,
piece,Navalcarnero--piece--2-4--,1529.51,26,7.5,1,
piece,Navalcarnero--piece--3-0--,1499.17,1,0,0,
piece,Navalcarnero--piece--3-1--,1657.14,4,10,1,
piece,Navalcarnero--piece--3-2--,1104.8,9,0,0,
piece,Navalcarnero--piece--3-3--,1321.22,23,0,0,
piece,Navalcarnero--piece--3-4--,1272.46,13,7.5,1,
piece,Navalcarnero--piece--4-0--,1243.01,12,6.11111,2,
piece,Navalcarnero--piece--4-1--,1604.11,12,0,0,
piece,Navalcarnero--piece--4-2--,0,0,0,0,
piece,Navalcarnero--piece--4-3--,0,0,0,0,
piece,Navalcarnero--piece--4-4--,0,0,0,0,
piece,Navalcarnero--piece--5-0--,0,0,0,0,
piece,Navalcarnero--piece--5-1--,0,0,0,0,
piece,Navalcarnero--piece--5-2--,1550.95,9,0,0,
piece,Navalcarnero--piece--5-3--,0,0,0,0,
piece,Navalcarnero--piece--5-4--,0,0,0,0,
piece,Navalcarnero--piece--6-0--,0,0,0,0,
piece,Navalcarnero--piece--6-1--,0,0,0,0,
piece,Navalcarnero--piece--6-2--,1892.69,8,0,0,
piece,Navalcarnero--piece--6-3--,0,0,0,0,
piece,Navalcarnero--piece--6-4--,0,0,0,0,
piece,Navalcarnero--piece--7-0--,0,0,0,0,
piece,Navalcarnero--piece--7-1--,874.471,16,0,0,
piece,Navalcarnero--piece--7-2--,2192.31,1,0,0,
piece,Navalcarnero--piece--7-3--,0,0,0,0,
piece,Navalcarnero--piece--7-4--,0,0,0,0,
piece,Navalcarnero--piece--8-0--,0,0,0,0,
piece,Navalcarnero--piece--8-1--,1262.31,21,7.14286,1,
piece,Navalcarnero--piece--8-2--,0,0,7.5,1,
piece,Navalcarnero--piece--8-3--,0,0,0,0,
piece,Navalcarnero--piece--8-4--,0,0,0,0,
piece,Navalcarnero--piece--9-0--,0,0,0,0,
piece,Navalcarnero--piece--9-1--,1638.63,11,0,0,
piece,Navalcarnero--piece--9-2--,2000,1,2.69231,1,
piece,Navalcarnero--piece--9-3--,0,0,0,0,
piece,Navalcarnero--piece--9-4--,0,0,0,0,
