cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Paracuellos de Jarama--piece--0-0--,0,0,0,0,
piece,Paracuellos de Jarama--piece--0-1--,1860.43,11,9.59223,2,
piece,Paracuellos de Jarama--piece--0-2--,1678.43,12,10.7143,1,
piece,Paracuellos de Jarama--piece--0-3--,0,0,0,0,
piece,Paracuellos de Jarama--piece--1-0--,0,0,0,0,
piece,Paracuellos de Jarama--piece--1-1--,1596.87,7,0,0,
piece,Paracuellos de Jarama--piece--1-2--,1925.99,4,8.03571,1,
piece,Paracuellos de Jarama--piece--1-3--,2411.11,2,0,0,
piece,Paracuellos de Jarama--piece--2-0--,0,0,0,0,
piece,Paracuellos de Jarama--piece--2-1--,1555.56,1,0,0,
piece,Paracuellos de Jarama--piece--2-2--,2168.44,4,0,0,
piece,Paracuellos de Jarama--piece--2-3--,1932.91,4,0,0,
piece,Paracuellos de Jarama--piece--3-0--,0,0,0,0,
piece,Paracuellos de Jarama--piece--3-1--,0,0,7.76699,1,
piece,Paracuellos de Jarama--piece--3-2--,2183.15,4,12.6396,2,
piece,Paracuellos de Jarama--piece--3-3--,1789.79,4,5.71429,1,
piece,Paracuellos de Jarama--piece--4-0--,0,0,0,0,
piece,Paracuellos de Jarama--piece--4-1--,2415.68,2,13.8333,1,
piece,Paracuellos de Jarama--piece--4-2--,2389.64,9,0,0,
piece,Paracuellos de Jarama--piece--4-3--,2059.23,6,6.92492,4,
piece,Paracuellos de Jarama--piece--5-0--,0,0,0,0,
piece,Paracuellos de Jarama--piece--5-1--,0,0,0,0,
piece,Paracuellos de Jarama--piece--5-2--,1888.41,4,10,1,
piece,Paracuellos de Jarama--piece--5-3--,2082.14,3,0,0,
