cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Parla--piece--0-0--,0,0,0,0,
piece,Parla--piece--0-1--,0,0,0,0,
piece,Parla--piece--0-2--,0,0,0,0,
piece,Parla--piece--0-3--,0,0,0,0,
piece,Parla--piece--0-4--,0,0,0,0,
piece,Parla--piece--0-5--,0,0,0,0,
piece,Parla--piece--0-6--,0,0,0,0,
piece,Parla--piece--0-7--,0,0,0,0,
piece,Parla--piece--1-0--,0,0,0,0,
piece,Parla--piece--1-1--,0,0,0,0,
piece,Parla--piece--1-2--,0,0,0,0,
piece,Parla--piece--1-3--,0,0,0,0,
piece,Parla--piece--1-4--,0,0,0,0,
piece,Parla--piece--1-5--,0,0,0,0,
piece,Parla--piece--1-6--,0,0,0,0,
piece,Parla--piece--1-7--,0,0,0,0,
piece,Parla--piece--10-0--,0,0,0,0,
piece,Parla--piece--10-1--,0,0,0,0,
piece,Parla--piece--10-2--,0,0,0,0,
piece,Parla--piece--10-3--,1666.33,10,0,0,
piece,Parla--piece--10-4--,1675.49,15,8.4353,2,
piece,Parla--piece--10-5--,1442.41,9,7.42574,1,
piece,Parla--piece--10-6--,0,0,0,0,
piece,Parla--piece--10-7--,0,0,0,0,
piece,Parla--piece--11-0--,0,0,0,0,
piece,Parla--piece--11-1--,0,0,0,0,
piece,Parla--piece--11-2--,0,0,0,0,
piece,Parla--piece--11-3--,0,0,0,0,
piece,Parla--piece--11-4--,3178.74,6,0,0,
piece,Parla--piece--11-5--,0,0,0,0,
piece,Parla--piece--11-6--,0,0,0,0,
piece,Parla--piece--11-7--,0,0,0,0,
piece,Parla--piece--2-0--,0,0,0,0,
piece,Parla--piece--2-1--,0,0,0,0,
piece,Parla--piece--2-2--,0,0,0,0,
piece,Parla--piece--2-3--,0,0,0,0,
piece,Parla--piece--2-4--,0,0,0,0,
piece,Parla--piece--2-5--,0,0,0,0,
piece,Parla--piece--2-6--,0,0,0,0,
piece,Parla--piece--2-7--,0,0,0,0,
piece,Parla--piece--3-0--,0,0,0,0,
piece,Parla--piece--3-1--,0,0,0,0,
piece,Parla--piece--3-2--,0,0,0,0,
piece,Parla--piece--3-3--,0,0,0,0,
piece,Parla--piece--3-4--,0,0,0,0,
piece,Parla--piece--3-5--,0,0,0,0,
piece,Parla--piece--3-6--,0,0,0,0,
piece,Parla--piece--3-7--,0,0,0,0,
piece,Parla--piece--4-0--,0,0,0,0,
piece,Parla--piece--4-1--,0,0,0,0,
piece,Parla--piece--4-2--,0,0,0,0,
piece,Parla--piece--4-3--,1173.02,1,0,0,
piece,Parla--piece--4-4--,1590.91,2,0,0,
piece,Parla--piece--4-5--,666.667,1,0,0,
piece,Parla--piece--4-6--,0,0,0,0,
piece,Parla--piece--4-7--,0,0,0,0,
piece,Parla--piece--5-0--,0,0,0,0,
piece,Parla--piece--5-1--,1680,3,7.44898,1,
piece,Parla--piece--5-2--,1717.84,30,8.68701,3,
piece,Parla--piece--5-3--,1265.13,14,6.5,1,
piece,Parla--piece--5-4--,1291.34,6,8.29444,2,
piece,Parla--piece--5-5--,1317.17,4,8.88889,1,
piece,Parla--piece--5-6--,0,0,0,0,
piece,Parla--piece--5-7--,0,0,0,0,
piece,Parla--piece--6-0--,1040,1,0,0,
piece,Parla--piece--6-1--,1668.77,30,0,0,
piece,Parla--piece--6-2--,1378.12,30,9.8,1,
piece,Parla--piece--6-3--,1369.11,27,9.73626,4,
piece,Parla--piece--6-4--,1375.5,24,7.49608,2,
piece,Parla--piece--6-5--,1660.47,5,0,0,
piece,Parla--piece--6-6--,0,0,0,0,
piece,Parla--piece--6-7--,0,0,0,0,
piece,Parla--piece--7-0--,1220.09,3,6.94444,1,
piece,Parla--piece--7-1--,1268.84,30,0,0,
piece,Parla--piece--7-2--,1382.29,29,7.50904,5,
piece,Parla--piece--7-3--,1506.87,29,6.87099,4,
piece,Parla--piece--7-4--,1423.51,20,0,0,
piece,Parla--piece--7-5--,1021.46,2,0,0,
piece,Parla--piece--7-6--,0,0,4.20949,1,
piece,Parla--piece--7-7--,0,0,0,0,
piece,Parla--piece--8-0--,0,0,0,0,
piece,Parla--piece--8-1--,1458.33,1,0,0,
piece,Parla--piece--8-2--,1396.48,29,0,0,
piece,Parla--piece--8-3--,1441.17,20,6.80466,3,
piece,Parla--piece--8-4--,1706.22,9,7.22222,1,
piece,Parla--piece--8-5--,1505.04,17,4.20949,1,
piece,Parla--piece--8-6--,1289.02,3,0,0,
piece,Parla--piece--8-7--,0,0,0,0,
piece,Parla--piece--9-0--,0,0,0,0,
piece,Parla--piece--9-1--,0,0,0,0,
piece,Parla--piece--9-2--,1404.4,2,0,0,
piece,Parla--piece--9-3--,1445.33,6,0,0,
piece,Parla--piece--9-4--,1829.03,21,7.57576,2,
piece,Parla--piece--9-5--,1739.31,17,0,0,
piece,Parla--piece--9-6--,1840.89,20,0,0,
piece,Parla--piece--9-7--,0,0,0,0,
