cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Pinto--piece--0-0--,0,0,0,0,
piece,Pinto--piece--0-1--,0,0,0,0,
piece,Pinto--piece--0-2--,0,0,0,0,
piece,Pinto--piece--0-3--,0,0,0,0,
piece,Pinto--piece--0-4--,0,0,0,0,
piece,Pinto--piece--0-5--,0,0,0,0,
piece,Pinto--piece--0-6--,0,0,0,0,
piece,Pinto--piece--0-7--,0,0,0,0,
piece,Pinto--piece--1-0--,0,0,0,0,
piece,Pinto--piece--1-1--,0,0,0,0,
piece,Pinto--piece--1-2--,0,0,0,0,
piece,Pinto--piece--1-3--,0,0,0,0,
piece,Pinto--piece--1-4--,0,0,0,0,
piece,Pinto--piece--1-5--,0,0,0,0,
piece,Pinto--piece--1-6--,0,0,0,0,
piece,Pinto--piece--1-7--,0,0,0,0,
piece,Pinto--piece--10-0--,0,0,0,0,
piece,Pinto--piece--10-1--,0,0,0,0,
piece,Pinto--piece--10-2--,0,0,0,0,
piece,Pinto--piece--10-3--,0,0,0,0,
piece,Pinto--piece--10-4--,0,0,0,0,
piece,Pinto--piece--10-5--,0,0,0,0,
piece,Pinto--piece--10-6--,0,0,0,0,
piece,Pinto--piece--10-7--,0,0,0,0,
piece,Pinto--piece--2-0--,0,0,0,0,
piece,Pinto--piece--2-1--,0,0,0,0,
piece,Pinto--piece--2-2--,0,0,0,0,
piece,Pinto--piece--2-3--,0,0,0,0,
piece,Pinto--piece--2-4--,0,0,0,0,
piece,Pinto--piece--2-5--,0,0,0,0,
piece,Pinto--piece--2-6--,0,0,0,0,
piece,Pinto--piece--2-7--,0,0,0,0,
piece,Pinto--piece--3-0--,0,0,0,0,
piece,Pinto--piece--3-1--,0,0,0,0,
piece,Pinto--piece--3-2--,0,0,0,0,
piece,Pinto--piece--3-3--,0,0,0,0,
piece,Pinto--piece--3-4--,0,0,0,0,
piece,Pinto--piece--3-5--,0,0,0,0,
piece,Pinto--piece--3-6--,0,0,0,0,
piece,Pinto--piece--3-7--,0,0,0,0,
piece,Pinto--piece--4-0--,0,0,0,0,
piece,Pinto--piece--4-1--,0,0,0,0,
piece,Pinto--piece--4-2--,0,0,0,0,
piece,Pinto--piece--4-3--,0,0,0,0,
piece,Pinto--piece--4-4--,0,0,0,0,
piece,Pinto--piece--4-5--,0,0,0,0,
piece,Pinto--piece--4-6--,0,0,0,0,
piece,Pinto--piece--4-7--,0,0,0,0,
piece,Pinto--piece--5-0--,0,0,0,0,
piece,Pinto--piece--5-1--,0,0,0,0,
piece,Pinto--piece--5-2--,0,0,0,0,
piece,Pinto--piece--5-3--,1395.41,8,0,0,
piece,Pinto--piece--5-4--,1728.2,24,9.23077,1,
piece,Pinto--piece--5-5--,1929.34,4,0,0,
piece,Pinto--piece--5-6--,0,0,0,0,
piece,Pinto--piece--5-7--,0,0,0,0,
piece,Pinto--piece--6-0--,2497.85,11,9.44444,2,
piece,Pinto--piece--6-1--,2393.01,20,8.64811,4,
piece,Pinto--piece--6-2--,2166.03,29,7.00935,1,
piece,Pinto--piece--6-3--,1959.41,22,10.0785,8,
piece,Pinto--piece--6-4--,1677.91,30,8.86204,3,
piece,Pinto--piece--6-5--,1943.37,23,0,0,
piece,Pinto--piece--6-6--,0,0,0,0,
piece,Pinto--piece--6-7--,0,0,0,0,
piece,Pinto--piece--7-0--,2302.79,12,8.90105,4,
piece,Pinto--piece--7-1--,2140.57,6,8.43373,1,
piece,Pinto--piece--7-2--,1606.03,14,8.75,1,
piece,Pinto--piece--7-3--,1728.5,30,8.26691,3,
piece,Pinto--piece--7-4--,1921.72,22,8.63586,8,
piece,Pinto--piece--7-5--,1934.43,5,7.68908,2,
piece,Pinto--piece--7-6--,0,0,0,0,
piece,Pinto--piece--7-7--,0,0,0,0,
piece,Pinto--piece--8-0--,0,0,0,0,
piece,Pinto--piece--8-1--,0,0,0,0,
piece,Pinto--piece--8-2--,1379.99,2,0,0,
piece,Pinto--piece--8-3--,1402.49,9,0,0,
piece,Pinto--piece--8-4--,1548.08,4,0,0,
piece,Pinto--piece--8-5--,0,0,0,0,
piece,Pinto--piece--8-6--,0,0,0,0,
piece,Pinto--piece--8-7--,0,0,0,0,
piece,Pinto--piece--9-0--,0,0,0,0,
piece,Pinto--piece--9-1--,0,0,0,0,
piece,Pinto--piece--9-2--,1866.67,1,0,0,
piece,Pinto--piece--9-3--,0,0,0,0,
piece,Pinto--piece--9-4--,0,0,0,0,
piece,Pinto--piece--9-5--,0,0,0,0,
piece,Pinto--piece--9-6--,0,0,0,0,
piece,Pinto--piece--9-7--,0,0,0,0,
