cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Pozuelo de Alarcón--piece--0-0--,0,0,0,0,
piece,Pozuelo de Alarcón--piece--0-1--,0,0,0,0,
piece,Pozuelo de Alarcón--piece--0-2--,0,0,0,0,
piece,Pozuelo de Alarcón--piece--0-3--,2.01521,1,0,0,
piece,Pozuelo de Alarcón--piece--0-4--,2177.78,1,0,0,
piece,Pozuelo de Alarcón--piece--0-5--,2.46679,1,0,0,
piece,Pozuelo de Alarcón--piece--0-6--,5.6015,2,0,0,
piece,Pozuelo de Alarcón--piece--1-0--,0,0,0,0,
piece,Pozuelo de Alarcón--piece--1-1--,0,0,0,0,
piece,Pozuelo de Alarcón--piece--1-2--,0,0,0,0,
piece,Pozuelo de Alarcón--piece--1-3--,2.84545,1,0,0,
piece,Pozuelo de Alarcón--piece--1-4--,652.056,12,7,1,
piece,Pozuelo de Alarcón--piece--1-5--,1614.19,5,5.70825,1,
piece,Pozuelo de Alarcón--piece--1-6--,3.07329,1,0,0,
piece,Pozuelo de Alarcón--piece--2-0--,0,0,0,0,
piece,Pozuelo de Alarcón--piece--2-1--,0,0,0,0,
piece,Pozuelo de Alarcón--piece--2-2--,994.773,5,0,0,
piece,Pozuelo de Alarcón--piece--2-3--,2.21031,14,7.12329,1,
piece,Pozuelo de Alarcón--piece--2-4--,1577.56,12,7,3,
piece,Pozuelo de Alarcón--piece--2-5--,2528.21,19,13.0332,4,
piece,Pozuelo de Alarcón--piece--2-6--,3815.61,8,12.5092,4,
piece,Pozuelo de Alarcón--piece--3-0--,2579.36,1,0,0,
piece,Pozuelo de Alarcón--piece--3-1--,3342.48,3,0,0,
piece,Pozuelo de Alarcón--piece--3-2--,1933.44,11,8.8,1,
piece,Pozuelo de Alarcón--piece--3-3--,1804.15,6,0,0,
piece,Pozuelo de Alarcón--piece--3-4--,2392.2,9,11.0094,3,
piece,Pozuelo de Alarcón--piece--3-5--,2482.73,24,10,1,
piece,Pozuelo de Alarcón--piece--3-6--,3940.37,4,0,0,
piece,Pozuelo de Alarcón--piece--4-0--,3778.95,1,0,0,
piece,Pozuelo de Alarcón--piece--4-1--,3434.57,17,9.33333,6,
piece,Pozuelo de Alarcón--piece--4-2--,2203.01,3,8.3871,1,
piece,Pozuelo de Alarcón--piece--4-3--,1933.98,4,0,0,
piece,Pozuelo de Alarcón--piece--4-4--,3079.75,4,0,0,
piece,Pozuelo de Alarcón--piece--4-5--,3499.29,13,13.5081,4,
piece,Pozuelo de Alarcón--piece--4-6--,3900,2,7.86802,1,
piece,Pozuelo de Alarcón--piece--5-0--,5203.8,3,0,0,
piece,Pozuelo de Alarcón--piece--5-1--,3844.57,21,12.5,1,
piece,Pozuelo de Alarcón--piece--5-2--,3158.16,7,0,0,
piece,Pozuelo de Alarcón--piece--5-3--,2728.26,15,12.7211,8,
piece,Pozuelo de Alarcón--piece--5-4--,1666.38,6,9.00246,2,
piece,Pozuelo de Alarcón--piece--5-5--,4041.42,8,14.4047,7,
piece,Pozuelo de Alarcón--piece--5-6--,3.84632,5,20.9367,4,
piece,Pozuelo de Alarcón--piece--6-0--,1745.19,6,13.795,3,
piece,Pozuelo de Alarcón--piece--6-1--,1424.7,7,20,3,
piece,Pozuelo de Alarcón--piece--6-2--,2639.64,26,9.17253,5,
piece,Pozuelo de Alarcón--piece--6-3--,2785.21,15,10.1217,8,
piece,Pozuelo de Alarcón--piece--6-4--,3612.28,11,12.5589,5,
piece,Pozuelo de Alarcón--piece--6-5--,4118.23,15,12.8412,8,
piece,Pozuelo de Alarcón--piece--6-6--,2,3,11.9221,2,
piece,Pozuelo de Alarcón--piece--7-0--,878.547,5,10.4265,7,
piece,Pozuelo de Alarcón--piece--7-1--,2458.96,16,12.1996,9,
piece,Pozuelo de Alarcón--piece--7-2--,1177.86,15,10.0457,1,
piece,Pozuelo de Alarcón--piece--7-3--,2579.27,20,14.3012,2,
piece,Pozuelo de Alarcón--piece--7-4--,2981.56,5,13.1613,9,
piece,Pozuelo de Alarcón--piece--7-5--,0,0,0,0,
piece,Pozuelo de Alarcón--piece--7-6--,2.59936,3,0,0,
piece,Pozuelo de Alarcón--piece--8-0--,2589.52,6,9.54165,2,
piece,Pozuelo de Alarcón--piece--8-1--,2154.53,13,11.0752,2,
piece,Pozuelo de Alarcón--piece--8-2--,2561.28,11,9.16647,4,
piece,Pozuelo de Alarcón--piece--8-3--,3977.08,9,12.7888,12,
piece,Pozuelo de Alarcón--piece--8-4--,4526.32,1,12.4644,3,
piece,Pozuelo de Alarcón--piece--8-5--,0,0,0,0,
piece,Pozuelo de Alarcón--piece--8-6--,4.23135,3,17.7781,6,
piece,Pozuelo de Alarcón--piece--9-0--,2848.87,12,14.8197,5,
piece,Pozuelo de Alarcón--piece--9-1--,3427.11,30,17.4444,3,
piece,Pozuelo de Alarcón--piece--9-2--,2942.15,13,14.2857,1,
piece,Pozuelo de Alarcón--piece--9-3--,3930.99,12,18.6694,4,
piece,Pozuelo de Alarcón--piece--9-4--,4487.51,2,12.963,3,
piece,Pozuelo de Alarcón--piece--9-5--,0,0,0,0,
piece,Pozuelo de Alarcón--piece--9-6--,659.684,4,12.1442,3,
