cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Rivas-Vaciamadrid--piece--0-0--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--0-1--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--0-10--,1779.28,1,6,1,
piece,Rivas-Vaciamadrid--piece--0-11--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--0-12--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--0-13--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--0-14--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--0-15--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--0-16--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--0-17--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--0-18--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--0-19--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--0-2--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--0-20--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--0-21--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--0-22--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--0-23--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--0-3--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--0-4--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--0-5--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--0-6--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--0-7--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--0-8--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--0-9--,2346.02,2,0,0,
piece,Rivas-Vaciamadrid--piece--1-0--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--1-1--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--1-10--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--1-11--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--1-12--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--1-13--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--1-14--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--1-15--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--1-16--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--1-17--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--1-18--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--1-19--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--1-2--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--1-20--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--1-21--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--1-22--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--1-23--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--1-3--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--1-4--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--1-5--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--1-6--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--1-7--,0,0,8.52381,3,
piece,Rivas-Vaciamadrid--piece--1-8--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--1-9--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--10-0--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--10-1--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--10-10--,1941.06,5,9.89907,2,
piece,Rivas-Vaciamadrid--piece--10-11--,1878.98,1,0,0,
piece,Rivas-Vaciamadrid--piece--10-12--,1886.36,1,0,0,
piece,Rivas-Vaciamadrid--piece--10-13--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--10-14--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--10-15--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--10-16--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--10-17--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--10-18--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--10-19--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--10-2--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--10-20--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--10-21--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--10-22--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--10-23--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--10-3--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--10-4--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--10-5--,1687.52,2,0,0,
piece,Rivas-Vaciamadrid--piece--10-6--,2580.28,8,8.38889,2,
piece,Rivas-Vaciamadrid--piece--10-7--,1760.02,4,0,0,
piece,Rivas-Vaciamadrid--piece--10-8--,2191.1,5,4.58115,1,
piece,Rivas-Vaciamadrid--piece--10-9--,2010.5,4,0,0,
piece,Rivas-Vaciamadrid--piece--11-0--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--11-1--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--11-10--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--11-11--,2086.65,2,0,0,
piece,Rivas-Vaciamadrid--piece--11-12--,2113.74,4,0,0,
piece,Rivas-Vaciamadrid--piece--11-13--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--11-14--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--11-15--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--11-16--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--11-17--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--11-18--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--11-19--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--11-2--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--11-20--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--11-21--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--11-22--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--11-23--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--11-3--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--11-4--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--11-5--,2280.99,1,0,0,
piece,Rivas-Vaciamadrid--piece--11-6--,2548.89,2,0,0,
piece,Rivas-Vaciamadrid--piece--11-7--,1506.85,3,0,0,
piece,Rivas-Vaciamadrid--piece--11-8--,1579.33,5,0,0,
piece,Rivas-Vaciamadrid--piece--11-9--,1787.92,7,5.39024,1,
piece,Rivas-Vaciamadrid--piece--12-0--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--12-1--,0,0,0,0,
piece,Rivas-Vaciamadrid--piece--12-10--,1609.6,5,0,0,
piece,Rivas-Vaciamadrid--piece--12-11--,1820.93,20,7.03518,1,
piece,Rivas-Vaciamadrid--piece--12-12--,2089.68,11,0,0,
piece,Rivas-Vaciamadrid--piece--12-13--,2111.36,6,9.69512,1,
