cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,San Fernando de Henares--piece--0-0--,2034.6,9,0,0,
piece,San Fernando de Henares--piece--0-1--,1995.82,26,9.4287,2,
piece,San Fernando de Henares--piece--0-2--,1920.28,4,0,0,
piece,San Fernando de Henares--piece--0-3--,0,0,0,0,
piece,San Fernando de Henares--piece--1-0--,2196.03,20,9.66667,3,
piece,San Fernando de Henares--piece--1-1--,1910.04,18,11.7037,3,
piece,San Fernando de Henares--piece--1-2--,2296.25,6,10.3452,4,
piece,San Fernando de Henares--piece--1-3--,0,0,0,0,
piece,San Fernando de Henares--piece--2-0--,0,0,0,0,
piece,San Fernando de Henares--piece--2-1--,1637.96,3,0,0,
piece,San Fernando de Henares--piece--2-2--,2151.13,17,8.33333,1,
piece,San Fernando de Henares--piece--2-3--,0,0,0,0,
piece,San Fernando de Henares--piece--3-0--,0,0,0,0,
piece,San Fernando de Henares--piece--3-1--,0,0,0,0,
piece,San Fernando de Henares--piece--3-2--,0,0,0,0,
piece,San Fernando de Henares--piece--3-3--,0,0,0,0,
