cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Torrejón de Ardoz--piece--0-0--,0,0,0,0,
piece,Torrejón de Ardoz--piece--0-1--,0,0,0,0,
piece,Torrejón de Ardoz--piece--0-2--,1204.32,2,0,0,
piece,Torrejón de Ardoz--piece--0-3--,0,0,0,0,
piece,Torrejón de Ardoz--piece--0-4--,0,0,0,0,
piece,Torrejón de Ardoz--piece--0-5--,0,0,0,0,
piece,Torrejón de Ardoz--piece--1-0--,0,0,0,0,
piece,Torrejón de Ardoz--piece--1-1--,1408.95,17,8.16901,1,
piece,Torrejón de Ardoz--piece--1-2--,1824.36,19,7.69961,2,
piece,Torrejón de Ardoz--piece--1-3--,0,0,0,0,
piece,Torrejón de Ardoz--piece--1-4--,0,0,0,0,
piece,Torrejón de Ardoz--piece--1-5--,0,0,0,0,
piece,Torrejón de Ardoz--piece--10-0--,2049.28,5,0,0,
piece,Torrejón de Ardoz--piece--10-1--,2058.04,9,8.95853,2,
piece,Torrejón de Ardoz--piece--10-2--,2828.98,8,8.35213,2,
piece,Torrejón de Ardoz--piece--10-3--,0,0,0,0,
piece,Torrejón de Ardoz--piece--10-4--,0,0,0,0,
piece,Torrejón de Ardoz--piece--10-5--,0,0,0,0,
piece,Torrejón de Ardoz--piece--11-0--,0,0,0,0,
piece,Torrejón de Ardoz--piece--11-1--,1823.53,1,0,0,
piece,Torrejón de Ardoz--piece--11-2--,0,0,0,0,
piece,Torrejón de Ardoz--piece--11-3--,0,0,0,0,
piece,Torrejón de Ardoz--piece--11-4--,0,0,0,0,
piece,Torrejón de Ardoz--piece--11-5--,0,0,0,0,
piece,Torrejón de Ardoz--piece--2-0--,1958.36,3,0,0,
piece,Torrejón de Ardoz--piece--2-1--,1678.57,30,7.22222,1,
piece,Torrejón de Ardoz--piece--2-2--,1729.78,28,10,1,
piece,Torrejón de Ardoz--piece--2-3--,0,0,0,0,
piece,Torrejón de Ardoz--piece--2-4--,0,0,0,0,
piece,Torrejón de Ardoz--piece--2-5--,0,0,0,0,
piece,Torrejón de Ardoz--piece--3-0--,1704.41,5,0,0,
piece,Torrejón de Ardoz--piece--3-1--,1859.51,28,10.6667,2,
piece,Torrejón de Ardoz--piece--3-2--,1973.37,27,9.21771,4,
piece,Torrejón de Ardoz--piece--3-3--,0,0,7.33333,1,
piece,Torrejón de Ardoz--piece--3-4--,1544.46,4,0,0,
piece,Torrejón de Ardoz--piece--3-5--,1595.04,4,0,0,
piece,Torrejón de Ardoz--piece--4-0--,1739.71,2,0,0,
piece,Torrejón de Ardoz--piece--4-1--,2171.76,16,0,0,
piece,Torrejón de Ardoz--piece--4-2--,2226.66,15,0,0,
piece,Torrejón de Ardoz--piece--4-3--,1834.6,29,0,0,
piece,Torrejón de Ardoz--piece--4-4--,2178.34,28,7.37522,2,
piece,Torrejón de Ardoz--piece--4-5--,2292.45,9,7.3913,1,
piece,Torrejón de Ardoz--piece--5-0--,1672.21,9,8.04598,1,
piece,Torrejón de Ardoz--piece--5-1--,2421.6,30,0,0,
piece,Torrejón de Ardoz--piece--5-2--,1764.03,5,0,0,
piece,Torrejón de Ardoz--piece--5-3--,2037.11,29,0.0120704,1,
piece,Torrejón de Ardoz--piece--5-4--,2015.54,30,8.40708,1,
piece,Torrejón de Ardoz--piece--5-5--,1525.53,3,0,0,
piece,Torrejón de Ardoz--piece--6-0--,1632.02,8,0,0,
piece,Torrejón de Ardoz--piece--6-1--,2199.55,25,9.48276,1,
piece,Torrejón de Ardoz--piece--6-2--,2074.61,3,9.14286,1,
piece,Torrejón de Ardoz--piece--6-3--,1479.19,6,0,0,
piece,Torrejón de Ardoz--piece--6-4--,1471.38,10,7.0354,2,
piece,Torrejón de Ardoz--piece--6-5--,1947.15,9,0,0,
piece,Torrejón de Ardoz--piece--7-0--,1695.65,1,0,0,
piece,Torrejón de Ardoz--piece--7-1--,1724,25,7.8,1,
piece,Torrejón de Ardoz--piece--7-2--,1913.85,27,6.5,1,
piece,Torrejón de Ardoz--piece--7-3--,1651.19,7,0,0,
piece,Torrejón de Ardoz--piece--7-4--,0,0,0,0,
piece,Torrejón de Ardoz--piece--7-5--,0,0,0,0,
piece,Torrejón de Ardoz--piece--8-0--,2029.76,16,8.4375,2,
piece,Torrejón de Ardoz--piece--8-1--,2102.03,11,10,1,
piece,Torrejón de Ardoz--piece--8-2--,2048.81,13,12.0755,2,
piece,Torrejón de Ardoz--piece--8-3--,1665.99,6,0,0,
piece,Torrejón de Ardoz--piece--8-4--,0,0,0,0,
piece,Torrejón de Ardoz--piece--8-5--,0,0,0,0,
piece,Torrejón de Ardoz--piece--9-0--,2028.57,2,8.92857,1,
piece,Torrejón de Ardoz--piece--9-1--,2365.36,4,10.3461,3,
piece,Torrejón de Ardoz--piece--9-2--,1878.81,10,10.0097,3,
piece,Torrejón de Ardoz--piece--9-3--,0,0,0,0,
piece,Torrejón de Ardoz--piece--9-4--,0,0,0,0,
piece,Torrejón de Ardoz--piece--9-5--,0,0,0,0,
