cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Torrelodones--piece--0-0--,0,0,0,0,
piece,Torrelodones--piece--0-1--,3.51655,1,0,0,
piece,Torrelodones--piece--0-2--,2236.84,1,0,0,
piece,Torrelodones--piece--0-3--,0,0,0,0,
piece,Torrelodones--piece--1-0--,1885.05,6,17.5,2,
piece,Torrelodones--piece--1-1--,2400.74,16,0,0,
piece,Torrelodones--piece--1-2--,0,0,0,0,
piece,Torrelodones--piece--1-3--,0,0,0,0,
piece,Torrelodones--piece--2-0--,2144.75,2,5.42373,1,
piece,Torrelodones--piece--2-1--,2585.75,26,10.9075,3,
piece,Torrelodones--piece--2-2--,3025.59,2,9.62567,1,
piece,Torrelodones--piece--2-3--,0,0,0,0,
piece,Torrelodones--piece--3-0--,1611.48,5,5.16129,1,
piece,Torrelodones--piece--3-1--,1686.4,18,8.02545,3,
piece,Torrelodones--piece--3-2--,1232.64,2,7.25991,3,
piece,Torrelodones--piece--3-3--,1410.53,3,0,0,
piece,Torrelodones--piece--4-0--,0,0,0,0,
piece,Torrelodones--piece--4-1--,1390.83,5,0,0,
piece,Torrelodones--piece--4-2--,0,0,0,0,
piece,Torrelodones--piece--4-3--,2113.06,3,0,0,
piece,Torrelodones--piece--5-0--,1235.46,4,0,0,
piece,Torrelodones--piece--5-1--,2.41855,1,0,0,
piece,Torrelodones--piece--5-2--,0,0,0,0,
piece,Torrelodones--piece--5-3--,0,0,0,0,
