cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Tres Cantos--piece--0-0--,3095.17,7,9.77273,2,
piece,Tres Cantos--piece--0-1--,2489.95,3,10,1,
piece,Tres Cantos--piece--0-2--,2657.1,8,10.2041,3,
piece,Tres Cantos--piece--0-3--,3150.88,4,11.1467,3,
piece,Tres Cantos--piece--0-4--,0,0,0,0,
piece,Tres Cantos--piece--0-5--,0,0,0,0,
piece,Tres Cantos--piece--1-0--,3473.94,8,11.7021,1,
piece,Tres Cantos--piece--1-1--,3087.11,10,10.14,5,
piece,Tres Cantos--piece--1-2--,2621.16,7,14.4444,1,
piece,Tres Cantos--piece--1-3--,2722.59,6,10.8795,6,
piece,Tres Cantos--piece--1-4--,0,0,0,0,
piece,Tres Cantos--piece--1-5--,0,0,0,0,
piece,Tres Cantos--piece--2-0--,3292.76,2,0,0,
piece,Tres Cantos--piece--2-1--,3063.6,2,11,1,
piece,Tres Cantos--piece--2-2--,2066.93,1,6.94444,1,
piece,Tres Cantos--piece--2-3--,2326.91,8,11.1111,1,
piece,Tres Cantos--piece--2-4--,2366.2,8,10.7955,2,
piece,Tres Cantos--piece--2-5--,0,0,0,0,
piece,Tres Cantos--piece--3-0--,0,0,11.5942,1,
piece,Tres Cantos--piece--3-1--,0,0,9.80457,2,
piece,Tres Cantos--piece--3-2--,0,0,0,0,
piece,Tres Cantos--piece--3-3--,2355.96,7,8.37054,2,
piece,Tres Cantos--piece--3-4--,2173.83,9,10.2319,6,
piece,Tres Cantos--piece--3-5--,0,0,0,0,
piece,Tres Cantos--piece--4-0--,0,0,0,0,
piece,Tres Cantos--piece--4-1--,2262.5,3,0,0,
piece,Tres Cantos--piece--4-2--,1513.13,4,9.08864,4,
piece,Tres Cantos--piece--4-3--,2395.22,4,9.48894,4,
piece,Tres Cantos--piece--4-4--,2434.85,5,10.5556,1,
piece,Tres Cantos--piece--4-5--,0,0,0,0,
