cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Valdemoro--piece--0-0--,0,0,0,0,
piece,Valdemoro--piece--0-1--,0,0,0,0,
piece,Valdemoro--piece--0-2--,0,0,0,0,
piece,Valdemoro--piece--0-3--,0,0,0,0,
piece,Valdemoro--piece--0-4--,0,0,0,0,
piece,Valdemoro--piece--0-5--,0,0,0,0,
piece,Valdemoro--piece--0-6--,0,0,0,0,
piece,Valdemoro--piece--0-7--,0,0,0,0,
piece,Valdemoro--piece--0-8--,0,0,0,0,
piece,Valdemoro--piece--1-0--,0,0,0,0,
piece,Valdemoro--piece--1-1--,0,0,0,0,
piece,Valdemoro--piece--1-2--,0,0,0,0,
piece,Valdemoro--piece--1-3--,2366.08,10,0,0,
piece,Valdemoro--piece--1-4--,1985.71,4,0,0,
piece,Valdemoro--piece--1-5--,0,0,0,0,
piece,Valdemoro--piece--1-6--,0,0,0,0,
piece,Valdemoro--piece--1-7--,0,0,0,0,
piece,Valdemoro--piece--1-8--,0,0,0,0,
piece,Valdemoro--piece--2-0--,0,0,0,0,
piece,Valdemoro--piece--2-1--,0,0,0,0,
piece,Valdemoro--piece--2-2--,0,0,0,0,
piece,Valdemoro--piece--2-3--,2312.17,11,9.04762,1,
piece,Valdemoro--piece--2-4--,1569.42,28,7.57576,1,
piece,Valdemoro--piece--2-5--,1475.98,7,0,0,
piece,Valdemoro--piece--2-6--,1671.15,6,4.2,1,
piece,Valdemoro--piece--2-7--,0,0,5.08475,1,
piece,Valdemoro--piece--2-8--,1077.03,10,5.45455,1,
piece,Valdemoro--piece--3-0--,0,0,0,0,
piece,Valdemoro--piece--3-1--,1050.47,3,0,0,
piece,Valdemoro--piece--3-2--,1251.95,3,0,0,
piece,Valdemoro--piece--3-3--,1302.67,21,8.82033,2,
piece,Valdemoro--piece--3-4--,1531.39,30,8.03315,3,
piece,Valdemoro--piece--3-5--,1560.58,29,0,0,
piece,Valdemoro--piece--3-6--,1479.16,23,4.54869,3,
piece,Valdemoro--piece--3-7--,1588.11,11,6.5251,4,
piece,Valdemoro--piece--3-8--,1474.65,8,5.70912,3,
piece,Valdemoro--piece--4-0--,0,0,0,0,
piece,Valdemoro--piece--4-1--,1453.49,1,2,1,
piece,Valdemoro--piece--4-2--,0,0,0,0,
piece,Valdemoro--piece--4-3--,0,0,0,0,
piece,Valdemoro--piece--4-4--,1769.83,21,8.87319,4,
piece,Valdemoro--piece--4-5--,1472.7,29,9.66437,4,
piece,Valdemoro--piece--4-6--,1709.98,13,10.3077,1,
piece,Valdemoro--piece--4-7--,1745.26,25,0,0,
piece,Valdemoro--piece--4-8--,1351.46,17,0,0,
piece,Valdemoro--piece--5-0--,0,0,0,0,
piece,Valdemoro--piece--5-1--,0,0,0,0,
piece,Valdemoro--piece--5-2--,0,0,0,0,
piece,Valdemoro--piece--5-3--,0,0,0,0,
piece,Valdemoro--piece--5-4--,1711.06,28,7.98954,3,
piece,Valdemoro--piece--5-5--,1634.31,29,9.30952,2,
piece,Valdemoro--piece--5-6--,1466.93,13,6.74157,1,
piece,Valdemoro--piece--5-7--,1300,1,0,0,
piece,Valdemoro--piece--5-8--,0,0,0,0,
piece,Valdemoro--piece--6-0--,0,0,0,0,
piece,Valdemoro--piece--6-1--,0,0,0,0,
piece,Valdemoro--piece--6-2--,0,0,0,0,
piece,Valdemoro--piece--6-3--,0,0,0,0,
piece,Valdemoro--piece--6-4--,1613.83,11,0,0,
piece,Valdemoro--piece--6-5--,1594.48,27,7.75532,3,
piece,Valdemoro--piece--6-6--,1388.42,12,8.4507,1,
piece,Valdemoro--piece--6-7--,1365.61,30,0,0,
piece,Valdemoro--piece--6-8--,1642.62,6,0,0,
piece,Valdemoro--piece--7-0--,0,0,0,0,
piece,Valdemoro--piece--7-1--,0,0,0,0,
piece,Valdemoro--piece--7-2--,0,0,0,0,
piece,Valdemoro--piece--7-3--,1737.04,3,0,0,
piece,Valdemoro--piece--7-4--,1866.62,22,0,0,
piece,Valdemoro--piece--7-5--,1506.52,13,5.90164,1,
piece,Valdemoro--piece--7-6--,0,0,0,0,
piece,Valdemoro--piece--7-7--,1278.95,1,0,0,
piece,Valdemoro--piece--7-8--,1867.03,1,0,0,
piece,Valdemoro--piece--8-0--,0,0,0,0,
piece,Valdemoro--piece--8-1--,0,0,0,0,
piece,Valdemoro--piece--8-2--,0,0,0,0,
piece,Valdemoro--piece--8-3--,0,0,0,0,
piece,Valdemoro--piece--8-4--,0,0,0,0,
piece,Valdemoro--piece--8-5--,1980.92,2,0,0,
piece,Valdemoro--piece--8-6--,0,0,0,0,
piece,Valdemoro--piece--8-7--,0,0,0,0,
piece,Valdemoro--piece--8-8--,0,0,0,0,
