cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Villaviciosa de Odón--piece--0-0--,1400,1,0,0,
piece,Villaviciosa de Odón--piece--0-1--,1800.57,5,11.16,2,
piece,Villaviciosa de Odón--piece--0-2--,1749.56,5,0,0,
piece,Villaviciosa de Odón--piece--0-3--,0,0,0,0,
piece,Villaviciosa de Odón--piece--0-4--,0,0,0,0,
piece,Villaviciosa de Odón--piece--1-0--,0,0,0,0,
piece,Villaviciosa de Odón--piece--1-1--,1242.84,9,10.9649,4,
piece,Villaviciosa de Odón--piece--1-2--,2354.59,12,8.3553,6,
piece,Villaviciosa de Odón--piece--1-3--,1891.67,2,25.3333,1,
piece,Villaviciosa de Odón--piece--1-4--,0,0,0,0,
piece,Villaviciosa de Odón--piece--2-0--,1953.12,1,0,0,
piece,Villaviciosa de Odón--piece--2-1--,1957.01,3,0,0,
piece,Villaviciosa de Odón--piece--2-2--,2512.72,30,12.1114,15,
piece,Villaviciosa de Odón--piece--2-3--,2606.32,8,10,1,
piece,Villaviciosa de Odón--piece--2-4--,0,0,0,0,
piece,Villaviciosa de Odón--piece--3-0--,0,0,0,0,
piece,Villaviciosa de Odón--piece--3-1--,0,0,0,0,
piece,Villaviciosa de Odón--piece--3-2--,2102.62,24,11.7034,8,
piece,Villaviciosa de Odón--piece--3-3--,2321.13,8,6.6,1,
piece,Villaviciosa de Odón--piece--3-4--,0,0,0,0,
piece,Villaviciosa de Odón--piece--4-0--,0,0,0,0,
piece,Villaviciosa de Odón--piece--4-1--,0,0,0,0,
piece,Villaviciosa de Odón--piece--4-2--,1936.14,2,0,0,
piece,Villaviciosa de Odón--piece--4-3--,1943.08,4,10.7143,1,
piece,Villaviciosa de Odón--piece--4-4--,0,0,0,0,
piece,Villaviciosa de Odón--piece--5-0--,0,0,0,0,
piece,Villaviciosa de Odón--piece--5-1--,0,0,0,0,
piece,Villaviciosa de Odón--piece--5-2--,1264.15,10,27.3333,1,
piece,Villaviciosa de Odón--piece--5-3--,1645.41,8,37.5,1,
piece,Villaviciosa de Odón--piece--5-4--,0,0,0,0,
piece,Villaviciosa de Odón--piece--6-0--,500.74,2,0.525,3,
piece,Villaviciosa de Odón--piece--6-1--,1451.29,12,13.6724,1,
piece,Villaviciosa de Odón--piece--6-2--,1648.2,17,6.08516,9,
piece,Villaviciosa de Odón--piece--6-3--,1302.62,9,15.4762,2,
piece,Villaviciosa de Odón--piece--6-4--,0,0,0,0,
piece,Villaviciosa de Odón--piece--7-0--,1569.91,5,0,0,
piece,Villaviciosa de Odón--piece--7-1--,1613.82,23,0,0,
piece,Villaviciosa de Odón--piece--7-2--,1212.6,7,8.16667,1,
piece,Villaviciosa de Odón--piece--7-3--,1696.23,13,18.3333,2,
piece,Villaviciosa de Odón--piece--7-4--,0,0,0,0,
piece,Villaviciosa de Odón--piece--8-0--,0,0,0,0,
piece,Villaviciosa de Odón--piece--8-1--,1463.41,4,0,0,
piece,Villaviciosa de Odón--piece--8-2--,1546.2,10,12.6771,4,
piece,Villaviciosa de Odón--piece--8-3--,1897.3,12,0,0,
piece,Villaviciosa de Odón--piece--8-4--,0,0,0,0,
