cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2800701001,Alcorcón--2800701001--,2025.04,29,10.4194,29,
2800701002,Alcorcón--2800701002--,1650.47,8,0,0,
2800701003,Alcorcón--2800701003--,2481.93,3,6.9,1,
2800701004,Alcorcón--2800701004--,1786.21,5,6.9,1,
2800701005,Alcorcón--2800701005--,1914.34,21,7.7451,2,
2800701006,Alcorcón--2800701006--,1845.78,11,0,0,
2800701007,Alcorcón--2800701007--,2044.68,16,0,0,
2800701008,Alcorcón--2800701008--,1742.5,4,15.8333,1,
2800701009,Alcorcón--2800701009--,1578.26,5,10,1,
2800701010,Alcorcón--2800701010--,1906.22,21,11.5,2,
2800701011,Alcorcón--2800701011--,1771.38,13,2.08333,1,
2800701012,Alcorcón--2800701012--,1647.45,10,9.42208,3,
2800701013,Alcorcón--2800701013--,1658.45,7,8.37761,5,
2800701014,Alcorcón--2800701014--,1826.42,3,11.0265,3,
2800701015,Alcorcón--2800701015--,1485,23,8.00659,6,
2800701016,Alcorcón--2800701016--,2024.08,29,9.22024,2,
2800701017,Alcorcón--2800701017--,2454.87,10,0,0,
2800701018,Alcorcón--2800701018--,2413.32,30,9.69154,10,
2800702001,Alcorcón--2800702001--,1974.37,7,0,0,
2800702002,Alcorcón--2800702002--,2156.55,2,0,0,
2800702003,Alcorcón--2800702003--,2302.3,9,0,0,
2800702004,Alcorcón--2800702004--,2048.75,8,7.30769,1,
2800702005,Alcorcón--2800702005--,2142.49,5,7.30769,1,
2800702006,Alcorcón--2800702006--,2057.24,4,0,0,
2800702007,Alcorcón--2800702007--,2028.1,6,0,0,
2800702008,Alcorcón--2800702008--,2152.8,6,6.94444,1,
2800702009,Alcorcón--2800702009--,2253.21,4,7.38527,2,
2800702010,Alcorcón--2800702010--,2124.84,4,0,0,
2800702011,Alcorcón--2800702011--,0,0,0,0,
2800702012,Alcorcón--2800702012--,1883,9,10,1,
2800702013,Alcorcón--2800702013--,1965.37,5,0,0,
2800702014,Alcorcón--2800702014--,2312.86,1,0,0,
2800702015,Alcorcón--2800702015--,2308.52,29,10.1621,9,
2800702016,Alcorcón--2800702016--,2233.52,18,11.8344,4,
2800702017,Alcorcón--2800702017--,1861.85,4,0,0,
2800702019,Alcorcón--2800702019--,2833.5,12,8.03571,1,
2800702020,Alcorcón--2800702020--,2213.75,21,10.0518,3,
2800702021,Alcorcón--2800702021--,2548.39,4,11.2158,2,
2800702022,Alcorcón--2800702022--,1976.09,9,9.70466,3,
2800702023,Alcorcón--2800702023--,2238.1,1,0,0,
2800702024,Alcorcón--2800702024--,2120.74,3,0,0,
2800702025,Alcorcón--2800702025--,2154.04,3,0,0,
2800702026,Alcorcón--2800702026--,2320.39,1,0,0,
2800702027,Alcorcón--2800702027--,2438,11,7.97907,3,
2800702028,Alcorcón--2800702028--,2086.19,10,10.1501,3,
2800702029,Alcorcón--2800702029--,2786.46,6,0,0,
2800702030,Alcorcón--2800702030--,1824.21,7,11.5625,1,
2800702031,Alcorcón--2800702031--,2626,8,9.09139,2,
2800702032,Alcorcón--2800702032--,2864.4,10,8.03571,1,
2800702033,Alcorcón--2800702033--,2603.01,12,10.3418,5,
2800702034,Alcorcón--2800702034--,2910.68,10,12.069,1,
2800702035,Alcorcón--2800702035--,2929.8,5,9.98897,3,
2800702036,Alcorcón--2800702036--,2137.9,4,6.9,1,
2800702037,Alcorcón--2800702037--,2182.68,9,12.069,1,
2800702038,Alcorcón--2800702038--,2925.86,11,12.1538,1,
2800703001,Alcorcón--2800703001--,1962.57,9,8.25864,3,
2800703002,Alcorcón--2800703002--,1840.34,6,8.54911,2,
2800703003,Alcorcón--2800703003--,2480.46,3,10.7692,1,
2800703004,Alcorcón--2800703004--,2145.63,13,7.8125,1,
2800703005,Alcorcón--2800703005--,2003.05,7,8.5,1,
2800703006,Alcorcón--2800703006--,1859.54,6,10.3846,2,
2800703007,Alcorcón--2800703007--,1884.06,1,10.4167,1,
2800703008,Alcorcón--2800703008--,1899.55,3,10,1,
2800703009,Alcorcón--2800703009--,2309.06,3,0,0,
2800703010,Alcorcón--2800703010--,1981.48,7,9.5625,2,
2800703011,Alcorcón--2800703011--,1999.37,6,11.5385,1,
2800703012,Alcorcón--2800703012--,1915.67,3,10,1,
2800703013,Alcorcón--2800703013--,2481.25,1,10,1,
2800703014,Alcorcón--2800703014--,2250.94,3,0,0,
2800703015,Alcorcón--2800703015--,1968.3,2,0,0,
2800703016,Alcorcón--2800703016--,2243.86,2,7.8,1,
2800703017,Alcorcón--2800703017--,2102.63,6,13.5294,1,
2800703018,Alcorcón--2800703018--,2233.1,5,10.2832,2,
2800703019,Alcorcón--2800703019--,2139.63,8,0,0,
2800703020,Alcorcón--2800703020--,2320.11,3,0,0,
2800703021,Alcorcón--2800703021--,2000.51,6,0,0,
2800703022,Alcorcón--2800703022--,1907.45,7,0,0,
