cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2801301001,Aranjuez--2801301001--,1686.66,16,7.43243,1,
2801301002,Aranjuez--2801301002--,1391.6,30,6.58824,1,
2801301003,Aranjuez--2801301003--,1291.3,24,6.58824,1,
2801301004,Aranjuez--2801301004--,899.35,2,0,0,
2801301005,Aranjuez--2801301005--,873.145,2,0,0,
2801301006,Aranjuez--2801301006--,962.711,4,0,0,
2801301007,Aranjuez--2801301007--,1201.29,8,6.53846,1,
2801301008,Aranjuez--2801301008--,1374.08,11,7.1875,1,
2801301009,Aranjuez--2801301009--,1469.27,11,0,0,
2801302001,Aranjuez--2801302001--,1654.5,12,0,0,
2801302002,Aranjuez--2801302002--,1304.16,30,7.39854,4,
2801302003,Aranjuez--2801302003--,1492.86,27,4.66667,2,
2801302004,Aranjuez--2801302004--,1230.61,30,4.82143,1,
2801302005,Aranjuez--2801302005--,1365.9,23,5.90608,3,
2801302006,Aranjuez--2801302006--,1284.6,20,6.44841,2,
2801302007,Aranjuez--2801302007--,1423.02,29,9.16667,1,
2801302008,Aranjuez--2801302008--,0,29,7.85256,2,
2801303001,Aranjuez--2801303001--,1434.36,16,0,0,
2801303002,Aranjuez--2801303002--,1453.17,30,7.87122,7,
2801303003,Aranjuez--2801303003--,1685.6,26,8.76714,4,
2801303004,Aranjuez--2801303004--,1666.12,2,17.5,1,
2801303005,Aranjuez--2801303005--,1377.15,3,0,0,
2801303006,Aranjuez--2801303006--,1563.03,11,0,0,
2801303007,Aranjuez--2801303007--,1184.21,1,0,0,
2801303008,Aranjuez--2801303008--,1414.51,26,12.0273,2,
2801303009,Aranjuez--2801303009--,1490.67,12,0,0,
2801303010,Aranjuez--2801303010--,1631.97,12,0,0,
2801304001,Aranjuez--2801304001--,1389.05,10,9.09091,1,
2801304002,Aranjuez--2801304002--,1223.48,6,6.31579,1,
2801304003,Aranjuez--2801304003--,905.003,28,5.7091,29,
2801304004,Aranjuez--2801304004--,1216.56,30,4.08631,6,
2801304005,Aranjuez--2801304005--,1200.97,30,4.08631,6,
