cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2801401001,Arganda del Rey--2801401001--,1663.19,29,25,1,
2801401002,Arganda del Rey--2801401002--,1700.1,21,0,0,
2801401003,Arganda del Rey--2801401003--,1560.94,18,0,0,
2801401004,Arganda del Rey--2801401004--,1339.84,7,0,0,
2801401005,Arganda del Rey--2801401005--,1290.04,15,7.5625,1,
2801401006,Arganda del Rey--2801401006--,1217.49,7,0,0,
2801401007,Arganda del Rey--2801401007--,1185.77,12,0,0,
2801401008,Arganda del Rey--2801401008--,1427.51,29,8.2136,3,
2801401009,Arganda del Rey--2801401009--,1504.56,30,0,0,
2801401010,Arganda del Rey--2801401010--,1462.66,28,7.08914,3,
2801401011,Arganda del Rey--2801401011--,1383.52,30,7.36207,2,
2801401012,Arganda del Rey--2801401012--,1467.13,29,5.32258,1,
2801401013,Arganda del Rey--2801401013--,1664.39,30,9.22311,7,
2801401014,Arganda del Rey--2801401014--,1561.39,29,8.89916,28,
2801401015,Arganda del Rey--2801401015--,1293.89,3,0,0,
2801401016,Arganda del Rey--2801401016--,1258.97,3,0,0,
2801401017,Arganda del Rey--2801401017--,1501.87,30,0,0,
2801401018,Arganda del Rey--2801401018--,1487.52,28,9.44118,2,
2801401019,Arganda del Rey--2801401019--,1600.35,28,7.89024,4,
2801401020,Arganda del Rey--2801401020--,1643.99,24,8.47176,5,
2801401021,Arganda del Rey--2801401021--,1625.47,13,9.61275,2,
2801401022,Arganda del Rey--2801401022--,1468.72,27,7.36207,2,
2801401023,Arganda del Rey--2801401023--,1510.94,7,0,0,
2801401024,Arganda del Rey--2801401024--,1594.68,29,8.74319,15,
2801401025,Arganda del Rey--2801401025--,1851.76,30,7.72727,1,
2801401026,Arganda del Rey--2801401026--,1921.84,26,8.17902,7,
