cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2801501001,Arroyomolinos--2801501001--,1383.43,29,7.94429,12,
2801501002,Arroyomolinos--2801501002--,1461.69,30,7.64825,3,
2801501003,Arroyomolinos--2801501003--,1328.17,26,7.72727,1,
2801501004,Arroyomolinos--2801501004--,1669.79,30,5.32616,5,
2801501005,Arroyomolinos--2801501005--,1480.4,30,7.15341,20,
2801501006,Arroyomolinos--2801501006--,1985.84,30,9.29372,4,
2801501007,Arroyomolinos--2801501007--,1588.3,30,6.17286,3,
2801501008,Arroyomolinos--2801501008--,1829.75,29,6.61856,3,
2801501009,Arroyomolinos--2801501009--,1928.78,30,7.92134,7,
2801501010,Arroyomolinos--2801501010--,1367.87,29,6.17031,3,
2801501011,Arroyomolinos--2801501011--,1444.51,27,5.31672,2,
