cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2802201001,Boadilla del Monte--2802201001--,2178.58,6,12.5641,4,
2802201002,Boadilla del Monte--2802201002--,1137.96,30,8.95373,10,
2802201003,Boadilla del Monte--2802201003--,1933.79,30,7.24674,7,
2802201004,Boadilla del Monte--2802201004--,1280.68,30,7.93619,18,
2802201005,Boadilla del Monte--2802201005--,2461.74,25,8.34525,16,
2802201006,Boadilla del Monte--2802201006--,2220.32,19,11.7241,7,
2802201007,Boadilla del Monte--2802201007--,1979.37,30,11.2135,4,
2802201008,Boadilla del Monte--2802201008--,1923.87,29,10.0929,17,
2802201009,Boadilla del Monte--2802201009--,1324.64,30,9.21439,7,
2802201010,Boadilla del Monte--2802201010--,1896.34,30,7.27208,19,
2802201011,Boadilla del Monte--2802201011--,2572.18,7,10.4545,1,
2802201012,Boadilla del Monte--2802201012--,2386.58,18,10.0867,6,
2802201013,Boadilla del Monte--2802201013--,2910.8,12,8.91007,7,
2802201014,Boadilla del Monte--2802201014--,3016.14,16,9.71938,12,
2802201015,Boadilla del Monte--2802201015--,2403.45,10,10.1432,6,
2802201016,Boadilla del Monte--2802201016--,2378.64,4,8.78182,2,
2802201017,Boadilla del Monte--2802201017--,2630.57,17,10.314,6,
2802201018,Boadilla del Monte--2802201018--,2402.55,20,10.0476,7,
2802201019,Boadilla del Monte--2802201019--,1907.39,30,9.68741,30,
2802201020,Boadilla del Monte--2802201020--,2640.88,30,8.58949,12,
2802201021,Boadilla del Monte--2802201021--,2164.78,11,10.652,10,
2802201022,Boadilla del Monte--2802201022--,2366.82,30,11.3221,8,
2802201023,Boadilla del Monte--2802201023--,2628.67,30,9.50155,19,
2802201024,Boadilla del Monte--2802201024--,2293.63,12,9.35741,6,
2802201025,Boadilla del Monte--2802201025--,2759.48,30,8.79897,20,
