cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2804001001,Ciempozuelos--2804001001--,1485.72,30,0,0,
2804001002,Ciempozuelos--2804001002--,1380.9,27,6.97694,3,
2804001003,Ciempozuelos--2804001003--,1442.33,17,0,0,
2804002001,Ciempozuelos--2804002001--,1211.07,29,6.66106,2,
2804002002,Ciempozuelos--2804002002--,1182.21,22,0,0,
2804002003,Ciempozuelos--2804002003--,1307.68,29,7.1614,4,
2804002004,Ciempozuelos--2804002004--,1279.73,28,7.09459,1,
2804002005,Ciempozuelos--2804002005--,1243.15,29,6.99462,6,
2804002006,Ciempozuelos--2804002006--,1398.03,28,6.69389,8,
2804003001,Ciempozuelos--2804003001--,1411.29,30,0,0,
2804003002,Ciempozuelos--2804003002--,1322.45,21,0,0,
