cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2804701001,Collado Villalba--2804701001--,1939.49,30,8.74538,5,
2804701002,Collado Villalba--2804701002--,1856.07,25,11.0984,2,
2804701003,Collado Villalba--2804701003--,1806.31,29,7.88524,5,
2804701004,Collado Villalba--2804701004--,1631.67,30,9.29017,7,
2804701005,Collado Villalba--2804701005--,1708.47,30,9.37776,8,
2804701006,Collado Villalba--2804701006--,1503.71,5,0,0,
2804701007,Collado Villalba--2804701007--,1492.15,17,0,0,
2804701008,Collado Villalba--2804701008--,1997.98,12,0,0,
2804701009,Collado Villalba--2804701009--,1604.34,29,8.88889,3,
2804701010,Collado Villalba--2804701010--,1757.12,29,8.33333,1,
2804701011,Collado Villalba--2804701011--,1803.69,27,9.15024,4,
2804701012,Collado Villalba--2804701012--,1830.72,30,0,0,
2804701013,Collado Villalba--2804701013--,1527.63,28,9.46886,3,
2804701014,Collado Villalba--2804701014--,1648.05,30,8.33333,1,
2804701015,Collado Villalba--2804701015--,1825.82,29,0,0,
2804701016,Collado Villalba--2804701016--,1524.95,30,0,0,
2804701017,Collado Villalba--2804701017--,1500.95,30,5.80543,6,
2804701018,Collado Villalba--2804701018--,1577.51,29,6.45129,8,
2804701019,Collado Villalba--2804701019--,1996.9,30,9.19,5,
2804701020,Collado Villalba--2804701020--,1621.25,30,8.85714,2,
2804701021,Collado Villalba--2804701021--,1721.34,19,9.60658,6,
2804701022,Collado Villalba--2804701022--,2081.97,5,0,0,
2804701023,Collado Villalba--2804701023--,1651.73,7,0,0,
2804701024,Collado Villalba--2804701024--,1618.11,30,7.35162,3,
2804701025,Collado Villalba--2804701025--,1720.88,30,0,0,
2804701026,Collado Villalba--2804701026--,1558.25,30,8.86029,7,
2804701027,Collado Villalba--2804701027--,1483.84,20,9.68375,3,
2804701028,Collado Villalba--2804701028--,1730.73,29,7.88524,5,
2804701029,Collado Villalba--2804701029--,1675.04,30,9.16667,2,
2804701030,Collado Villalba--2804701030--,1958.79,30,8.83333,2,
