cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2804501001,Colmenar Viejo--2804501001--,1487.08,23,8.27586,2,
2804501002,Colmenar Viejo--2804501002--,1691.32,30,17,2,
2804501003,Colmenar Viejo--2804501003--,1647.36,30,0,0,
2804501004,Colmenar Viejo--2804501004--,1769.53,18,0,0,
2804501005,Colmenar Viejo--2804501005--,1715.49,10,0,0,
2804501006,Colmenar Viejo--2804501006--,1457.34,21,7.35556,2,
2804501007,Colmenar Viejo--2804501007--,1622.29,11,10.3896,1,
2804501008,Colmenar Viejo--2804501008--,1495.33,17,7.35556,2,
2804501009,Colmenar Viejo--2804501009--,1377.27,3,0,0,
2804501010,Colmenar Viejo--2804501010--,1724.14,1,0,0,
2804501011,Colmenar Viejo--2804501011--,1852.42,15,0,0,
2804501012,Colmenar Viejo--2804501012--,2362.94,9,0,0,
2804501013,Colmenar Viejo--2804501013--,1829.78,30,0,0,
2804501014,Colmenar Viejo--2804501014--,1809.08,9,10.3896,1,
2804501015,Colmenar Viejo--2804501015--,1741.38,13,7.97872,1,
2804501016,Colmenar Viejo--2804501016--,1734.78,29,10.0932,28,
2804501017,Colmenar Viejo--2804501017--,1604.55,22,7.97872,1,
2804501018,Colmenar Viejo--2804501018--,1752.98,2,4.53333,1,
2804501019,Colmenar Viejo--2804501019--,1393.16,19,0,0,
2804501020,Colmenar Viejo--2804501020--,1736.45,14,0,0,
2804501021,Colmenar Viejo--2804501021--,1555.72,26,4.53333,1,
2804501022,Colmenar Viejo--2804501022--,1298.79,16,0,0,
2804501023,Colmenar Viejo--2804501023--,1753.95,30,9.60227,2,
