cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2804901001,Coslada--2804901001--,2355.83,6,0,0,
2804901002,Coslada--2804901002--,2367.72,27,10,1,
2804901003,Coslada--2804901003--,1749.44,6,0,0,
2804901004,Coslada--2804901004--,1955.24,13,0,0,
2804901005,Coslada--2804901005--,1857.31,8,10.5556,2,
2804901006,Coslada--2804901006--,1983.07,8,0,0,
2804901007,Coslada--2804901007--,1890.71,4,0,0,
2804901008,Coslada--2804901008--,1830.04,4,0,0,
2804901009,Coslada--2804901009--,1910.42,2,0,0,
2804901010,Coslada--2804901010--,2141.33,9,8.77232,2,
2804901011,Coslada--2804901011--,2154.93,3,9.81013,1,
2804901013,Coslada--2804901013--,2027.7,17,0,0,
2804901014,Coslada--2804901014--,1932.34,3,0,0,
2804901015,Coslada--2804901015--,2272.72,2,0,0,
2804901016,Coslada--2804901016--,1760.92,5,0,0,
2804901017,Coslada--2804901017--,2367.1,9,9.81013,1,
2804901018,Coslada--2804901018--,2813.48,13,0,0,
2804901019,Coslada--2804901019--,2428.31,12,10,1,
2804901020,Coslada--2804901020--,2341.83,13,0,0,
2804901021,Coslada--2804901021--,2595.06,13,0,0,
2804901022,Coslada--2804901022--,2869.88,7,0,0,
2804901023,Coslada--2804901023--,2616.65,8,0,0,
2804901024,Coslada--2804901024--,2742.11,8,0,0,
2804902001,Coslada--2804902001--,2061.64,18,10,1,
2804902002,Coslada--2804902002--,1647.06,1,0,0,
2804902003,Coslada--2804902003--,0,0,0,0,
2804902004,Coslada--2804902004--,2045.62,14,0,0,
2804902005,Coslada--2804902005--,2160.02,19,0,0,
2804902006,Coslada--2804902006--,2011.18,30,0,0,
2804902007,Coslada--2804902007--,1944.16,17,9.35897,1,
2804902008,Coslada--2804902008--,1871.59,15,9.35897,1,
2804902009,Coslada--2804902009--,1751.61,13,0,0,
2804902010,Coslada--2804902010--,1662.03,3,10,1,
2804902011,Coslada--2804902011--,2048.72,9,0,0,
2804902012,Coslada--2804902012--,1959.34,30,10,1,
2804902013,Coslada--2804902013--,1925.67,30,10,1,
2804902014,Coslada--2804902014--,1906.44,9,0,0,
2804902015,Coslada--2804902015--,1966.36,16,9.35897,1,
2804902016,Coslada--2804902016--,2018.49,28,9.55409,4,
2804902017,Coslada--2804902017--,1917.12,4,0,0,
2804902018,Coslada--2804902018--,1973.11,30,5.92593,1,
2804902019,Coslada--2804902019--,1751.78,23,0,0,
2804902020,Coslada--2804902020--,2338.79,28,0,0,
2804902021,Coslada--2804902021--,1889.24,10,10,1,
2804903001,Coslada--2804903001--,2101.75,4,0,0,
2804903002,Coslada--2804903002--,2117.04,4,0,0,
2804903003,Coslada--2804903003--,2184.4,13,8,1,
2804903004,Coslada--2804903004--,1782.9,14,8,1,
2804903005,Coslada--2804903005--,2061.66,11,7.14286,1,
2804903006,Coslada--2804903006--,2151.92,5,0,0,
2804903007,Coslada--2804903007--,1693.96,16,8.92857,2,
2804903008,Coslada--2804903008--,1759.98,11,0,0,
2804903009,Coslada--2804903009--,2140.66,24,9.66667,1,
2804904002,Coslada--2804904002--,2066.99,27,10.5059,21,
2804904003,Coslada--2804904003--,1512.01,8,11.9873,8,
