cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2806101001,Galapagar--2806101001--,1779.75,30,9.52842,13,
2806101002,Galapagar--2806101002--,1577.71,29,8.63046,6,
2806101003,Galapagar--2806101003--,1355.57,29,8.68808,29,
2806101004,Galapagar--2806101004--,1588.45,30,7.67045,2,
2806101005,Galapagar--2806101005--,1704.57,30,8.05357,4,
2806101006,Galapagar--2806101006--,1655.7,30,6.77538,6,
2806101007,Galapagar--2806101007--,1912.04,20,6.87808,2,
2806101008,Galapagar--2806101008--,1359.58,29,7.75758,10,
2806101009,Galapagar--2806101009--,1563.88,30,7.04187,5,
2806101010,Galapagar--2806101010--,1431.19,29,6.40329,7,
2806101011,Galapagar--2806101011--,1611.92,30,8.65064,5,
2806101012,Galapagar--2806101012--,1386.89,30,9.20938,16,
2806101013,Galapagar--2806101013--,1481.81,30,8.01667,5,
