cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2806501002,Getafe--2806501002--,2378.82,15,9.21154,2,
2806501003,Getafe--2806501003--,2140.01,11,10.4582,5,
2806501004,Getafe--2806501004--,3962.32,13,12.1143,5,
2806501005,Getafe--2806501005--,2092.79,12,10.4649,2,
2806501006,Getafe--2806501006--,1775.06,16,11.9864,3,
2806501007,Getafe--2806501007--,2158.66,4,0,0,
2806501008,Getafe--2806501008--,2221.01,18,0,0,
2806501009,Getafe--2806501009--,3873.58,13,6.66667,1,
2806501010,Getafe--2806501010--,2143.47,10,0,0,
2806501011,Getafe--2806501011--,1984.91,18,0,0,
2806501012,Getafe--2806501012--,1787.29,13,0,0,
2806501013,Getafe--2806501013--,899.535,4,7.85141,2,
2806501014,Getafe--2806501014--,1843.88,30,9.35707,14,
2806501015,Getafe--2806501015--,1714.28,10,0,0,
2806501016,Getafe--2806501016--,2295.53,12,9.24854,3,
2806501017,Getafe--2806501017--,2491.8,11,10.4706,4,
2806501018,Getafe--2806501018--,1949.46,6,11.6555,2,
2806501019,Getafe--2806501019--,2009.07,16,10.4447,6,
2806502001,Getafe--2806502001--,1931.07,8,9.5,2,
2806502002,Getafe--2806502002--,1966.95,4,9.5,2,
2806502003,Getafe--2806502003--,2047.88,10,9.76538,4,
2806502004,Getafe--2806502004--,1710.61,3,11.5625,1,
2806502005,Getafe--2806502005--,1663.52,7,11.5625,2,
2806502006,Getafe--2806502006--,1666.14,4,11.3368,2,
2806502007,Getafe--2806502007--,1604.4,2,10.8108,1,
2806502009,Getafe--2806502009--,1683.89,5,9.6215,5,
2806502010,Getafe--2806502010--,2094.59,19,9.45902,9,
2806502011,Getafe--2806502011--,2269.33,1,7.5,1,
2806502012,Getafe--2806502012--,2227.3,4,9.95971,3,
2806502013,Getafe--2806502013--,2536.53,18,9.94359,3,
2806502014,Getafe--2806502014--,2219.35,16,9.18441,4,
2806502015,Getafe--2806502015--,1988.16,12,10.3618,2,
2806502016,Getafe--2806502016--,1935.45,27,9.76189,9,
2806502017,Getafe--2806502017--,1997.26,21,8.2606,5,
2806502018,Getafe--2806502018--,2338.04,7,8.48214,2,
2806502019,Getafe--2806502019--,1989.42,3,6.08696,1,
2806502020,Getafe--2806502020--,1904.78,18,4.61538,1,
2806502021,Getafe--2806502021--,2413.91,9,0,0,
2806503001,Getafe--2806503001--,1924.62,16,10.8815,3,
2806503002,Getafe--2806503002--,1772.7,9,0,0,
2806503003,Getafe--2806503003--,1794.21,11,0,0,
2806503004,Getafe--2806503004--,1903.22,3,0,0,
2806503005,Getafe--2806503005--,2072.59,6,0,0,
2806503006,Getafe--2806503006--,1724.3,5,10.2632,1,
2806503007,Getafe--2806503007--,1890.21,18,9.2,1,
2806503008,Getafe--2806503008--,2089.79,20,0,0,
2806503009,Getafe--2806503009--,2293.1,1,11.4286,2,
2806503010,Getafe--2806503010--,1787.36,22,9.2,1,
2806503011,Getafe--2806503011--,2392.86,2,0,0,
2806503012,Getafe--2806503012--,1788.71,4,0,0,
2806503013,Getafe--2806503013--,1970.17,2,11.4286,2,
2806503014,Getafe--2806503014--,2015.9,9,0,0,
2806503015,Getafe--2806503015--,1609.17,8,12.7778,1,
2806503016,Getafe--2806503016--,2733.17,10,0,0,
2806503017,Getafe--2806503017--,2054.86,2,0,0,
2806503018,Getafe--2806503018--,1727.66,5,0,0,
2806503019,Getafe--2806503019--,1228.07,2,0,0,
2806503020,Getafe--2806503020--,1306.12,1,0,0,
2806503021,Getafe--2806503021--,2003,28,9.1211,4,
2806503022,Getafe--2806503022--,1732.74,10,0,0,
2806503023,Getafe--2806503023--,1647.96,12,0,0,
2806503024,Getafe--2806503024--,1807.03,5,0,0,
2806503025,Getafe--2806503025--,1834.44,3,0,0,
2806503026,Getafe--2806503026--,1733.33,1,0,0,
2806503027,Getafe--2806503027--,2311.23,1,0,0,
2806503028,Getafe--2806503028--,1758.4,7,4.10959,1,
2806503029,Getafe--2806503029--,1714.62,16,5.07563,2,
2806503030,Getafe--2806503030--,2377.09,12,9.54262,3,
2806503031,Getafe--2806503031--,1741.77,5,0,0,
2806503032,Getafe--2806503032--,1922.65,9,0,0,
2806503033,Getafe--2806503033--,2282.23,26,9.74321,25,
2806503034,Getafe--2806503034--,1702.1,18,6.04167,1,
2806503035,Getafe--2806503035--,1830.43,11,0,0,
2806503036,Getafe--2806503036--,1657.51,14,0,0,
2806503037,Getafe--2806503037--,1834.91,14,10.5556,1,
2806503038,Getafe--2806503038--,2072.55,11,10.5556,1,
2806503039,Getafe--2806503039--,2781.6,29,9.43984,5,
2806503040,Getafe--2806503040--,1946.85,4,11.1376,3,
2806504001,Getafe--2806504001--,1850.53,17,10.9004,3,
2806504002,Getafe--2806504002--,2057.5,14,10.0345,4,
2806504003,Getafe--2806504003--,1915.94,12,7.80172,2,
2806504004,Getafe--2806504004--,2359.94,4,0,0,
2806504005,Getafe--2806504005--,1685.5,5,0,0,
2806504006,Getafe--2806504006--,1727.07,10,0,0,
2806504007,Getafe--2806504007--,1689,3,0,0,
2806504008,Getafe--2806504008--,1639.8,11,0,0,
2806504009,Getafe--2806504009--,1825.19,6,8.07143,1,
2806504010,Getafe--2806504010--,1860.22,17,9.93259,4,
2806504011,Getafe--2806504011--,1626.65,7,0,0,
2806504012,Getafe--2806504012--,1921.54,28,9.64505,17,
2806504013,Getafe--2806504013--,1708.66,5,0,0,
2806504014,Getafe--2806504014--,2052.79,6,0,0,
2806504015,Getafe--2806504015--,1557.42,6,0,0,
2806504016,Getafe--2806504016--,1648.22,6,0,0,
2806504017,Getafe--2806504017--,1756.66,10,0,0,
2806504018,Getafe--2806504018--,2018.26,10,0,0,
2806504021,Getafe--2806504021--,2099.86,5,9.53319,3,
2806504022,Getafe--2806504022--,1884.62,2,0,0,
2806504023,Getafe--2806504023--,1684.72,9,0,0,
2806504024,Getafe--2806504024--,1774.82,3,0,0,
2806504025,Getafe--2806504025--,1896.26,4,0,0,
2806504026,Getafe--2806504026--,1850.29,8,0,0,
2806504027,Getafe--2806504027--,1709.42,5,9.59611,2,
2806504028,Getafe--2806504028--,1573.73,24,9.59611,2,
2806504029,Getafe--2806504029--,1646.16,9,0,0,
2806504030,Getafe--2806504030--,2041.35,22,8.33333,1,
2806504031,Getafe--2806504031--,2122.98,6,0,0,
2806504032,Getafe--2806504032--,1785.46,28,8.33333,1,
2806504033,Getafe--2806504033--,1562.05,29,7.40062,6,
