cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2807901001,Madrid--2807901001--,4488.06,28,17.7146,29,
2807901002,Madrid--2807901002--,4104.92,16,19.63,4,
2807901003,Madrid--2807901003--,4834.59,30,19.5322,28,
2807901004,Madrid--2807901004--,4150.99,20,18.3115,17,
2807901006,Madrid--2807901006--,3752.56,30,17.4196,30,
2807901007,Madrid--2807901007--,2922.92,14,18.303,16,
2807901008,Madrid--2807901008--,3598.83,12,15.5921,10,
2807901009,Madrid--2807901009--,4124.83,29,17.2251,29,
2807901011,Madrid--2807901011--,4006.93,30,20.0805,23,
2807901012,Madrid--2807901012--,4939.02,15,17.9802,19,
2807901013,Madrid--2807901013--,4174.72,30,18.9029,17,
2807901014,Madrid--2807901014--,2810.04,25,18.7045,5,
2807901015,Madrid--2807901015--,3405.32,22,17.2667,19,
2807901016,Madrid--2807901016--,2581.39,10,17.1666,10,
2807901018,Madrid--2807901018--,4282.55,22,19.4563,16,
2807901019,Madrid--2807901019--,4487.62,29,17.8206,18,
2807901020,Madrid--2807901020--,4495.41,30,18.2514,21,
2807901021,Madrid--2807901021--,4690.77,30,20.1592,23,
2807901022,Madrid--2807901022--,4192.84,14,21.3871,12,
2807901023,Madrid--2807901023--,4845.93,25,20.0406,13,
2807901024,Madrid--2807901024--,4410.37,8,18.8085,8,
2807901025,Madrid--2807901025--,4269.24,28,17.9457,30,
2807901026,Madrid--2807901026--,3751.09,17,16.9083,17,
2807901027,Madrid--2807901027--,3519.96,17,20.538,12,
2807901028,Madrid--2807901028--,4413.31,21,19.9671,17,
2807901029,Madrid--2807901029--,4131.37,14,20.2282,30,
2807901030,Madrid--2807901030--,4837.53,28,20.2664,28,
2807901031,Madrid--2807901031--,4463.28,24,19.6653,30,
2807901032,Madrid--2807901032--,4013.48,30,20.0835,10,
2807901033,Madrid--2807901033--,4484.17,29,20.8834,17,
2807901034,Madrid--2807901034--,3897.57,27,20.3635,18,
2807901035,Madrid--2807901035--,4265.13,29,20.6207,22,
2807901036,Madrid--2807901036--,4732.31,26,20.8106,19,
2807901037,Madrid--2807901037--,4385.94,13,21.1761,13,
2807901038,Madrid--2807901038--,4539.03,10,13.75,1,
2807901039,Madrid--2807901039--,4409.84,28,20.0819,19,
2807901040,Madrid--2807901040--,4422.96,17,19.9067,4,
2807901041,Madrid--2807901041--,4519.39,28,19.0826,17,
2807901042,Madrid--2807901042--,4965.12,20,17.1767,17,
2807901043,Madrid--2807901043--,4649.54,18,18.7246,5,
2807901045,Madrid--2807901045--,4059.27,11,22.9895,5,
2807901046,Madrid--2807901046--,4294.12,16,19.5072,12,
2807901047,Madrid--2807901047--,3886.26,29,18.9593,17,
2807901048,Madrid--2807901048--,4736.4,9,17.0282,11,
2807901049,Madrid--2807901049--,4912.67,12,22.2547,5,
2807901050,Madrid--2807901050--,5051.33,23,16.1666,13,
2807901051,Madrid--2807901051--,4610.33,26,19.9271,12,
2807901053,Madrid--2807901053--,4673.09,29,19.2915,11,
2807901054,Madrid--2807901054--,4833.28,18,19.9171,3,
