cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2808001001,Majadahonda--2808001001--,3022.61,3,10.0853,3,
2808001002,Majadahonda--2808001002--,3313.85,8,9.41177,1,
2808001003,Majadahonda--2808001003--,2651.45,20,11.7582,4,
2808001004,Majadahonda--2808001004--,3280.41,22,13,3,
2808001005,Majadahonda--2808001005--,3236.91,5,0,0,
2808001006,Majadahonda--2808001006--,3800,1,0,0,
2808001007,Majadahonda--2808001007--,2847.67,20,10.9736,6,
2808001008,Majadahonda--2808001008--,2604.96,14,10.4737,2,
2808001009,Majadahonda--2808001009--,1306.09,30,8.06457,8,
2808001010,Majadahonda--2808001010--,3262.34,11,13,3,
2808001011,Majadahonda--2808001011--,3235.38,23,10.998,4,
2808001012,Majadahonda--2808001012--,3463.56,14,11.072,2,
2808001013,Majadahonda--2808001013--,2883.35,2,12.5,1,
2808001014,Majadahonda--2808001014--,2841.04,30,10.0721,30,
2808001015,Majadahonda--2808001015--,3454.72,3,9.41177,1,
2808001016,Majadahonda--2808001016--,2985.38,30,9.3052,7,
2808001017,Majadahonda--2808001017--,2865.46,13,11.7325,2,
2808002001,Majadahonda--2808002001--,3114.1,13,11.2392,4,
2808002002,Majadahonda--2808002002--,2034.89,16,11.633,4,
2808002003,Majadahonda--2808002003--,3111.64,6,13.9763,4,
2808002004,Majadahonda--2808002004--,1885.09,20,9.78693,2,
2808002005,Majadahonda--2808002005--,2135.44,29,9.27883,7,
2808002006,Majadahonda--2808002006--,3229.39,6,0,0,
2808002007,Majadahonda--2808002007--,3618.43,6,12.5762,5,
2808002008,Majadahonda--2808002008--,2248.95,29,12.2222,18,
2808002009,Majadahonda--2808002009--,1772.63,15,9.88005,2,
2808002010,Majadahonda--2808002010--,2856.01,8,13.2,1,
2808002011,Majadahonda--2808002011--,3070.69,7,0,0,
2808002012,Majadahonda--2808002012--,3231.5,8,12.616,4,
2808002013,Majadahonda--2808002013--,1838.65,13,10.3781,4,
2808002014,Majadahonda--2808002014--,1735.8,28,8.36613,8,
2808002015,Majadahonda--2808002015--,2858.2,30,11.6219,23,
2808002016,Majadahonda--2808002016--,0,0,0,0,
2808002017,Majadahonda--2808002017--,1824.45,12,9.64141,2,
2808002018,Majadahonda--2808002018--,2970.32,30,11.9461,12,
2808002019,Majadahonda--2808002019--,2011.91,6,0,0,
2808002020,Majadahonda--2808002020--,2990.55,28,11.9695,20,
2808002021,Majadahonda--2808002021--,3541.14,15,11.1341,5,
2808002022,Majadahonda--2808002022--,3243.48,18,12.5031,11,
2808002023,Majadahonda--2808002023--,3275.11,30,12.1698,29,
2808002024,Majadahonda--2808002024--,3233.09,30,11.6185,27,
