cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2808401001,Mejorada del Campo--2808401001--,1590.87,29,8,1,
2808401002,Mejorada del Campo--2808401002--,1613.74,15,0,0,
2808401003,Mejorada del Campo--2808401003--,1743.57,30,7.24479,4,
2808401004,Mejorada del Campo--2808401004--,1532.33,29,6.60638,3,
2808401005,Mejorada del Campo--2808401005--,1297.98,24,0,0,
2808401006,Mejorada del Campo--2808401006--,1360.64,15,7.64706,1,
2808401007,Mejorada del Campo--2808401007--,1674.26,30,6.85657,14,
2808401008,Mejorada del Campo--2808401008--,1339.22,30,6.87922,2,
2808401009,Mejorada del Campo--2808401009--,1370.84,29,6.29943,6,
2808401010,Mejorada del Campo--2808401010--,1702.2,30,8.70833,2,
2808401011,Mejorada del Campo--2808401011--,1589.9,28,8.37662,2,
