cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2809601001,Navalcarnero--2809601001--,1329.89,15,0,0,
2809601002,Navalcarnero--2809601002--,1521.11,23,7.14564,3,
2809601003,Navalcarnero--2809601003--,1343.7,29,9.33333,1,
2809601004,Navalcarnero--2809601004--,1347.81,28,7.57632,6,
2809601005,Navalcarnero--2809601005--,1434.83,29,7.59158,5,
2809601006,Navalcarnero--2809601006--,1393.97,28,7.40524,7,
2809601007,Navalcarnero--2809601007--,1465.18,30,6.93939,2,
2809601008,Navalcarnero--2809601008--,1460.18,26,8.50694,4,
2809601009,Navalcarnero--2809601009--,1331.93,30,0,0,
2809601010,Navalcarnero--2809601010--,1493.68,29,6.5929,6,
2809601011,Navalcarnero--2809601011--,1086.07,29,3.93013,1,
2809601012,Navalcarnero--2809601012--,1423.35,29,6.80031,20,
