cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2810601001,Parla--2810601001--,1424.37,30,9.8,1,
2810601002,Parla--2810601002--,1320.96,13,0,0,
2810601003,Parla--2810601003--,1239.74,14,7.99517,2,
2810601004,Parla--2810601004--,1563.21,30,7.5332,5,
2810601005,Parla--2810601005--,1484.51,30,7.87126,5,
2810601006,Parla--2810601006--,1381.78,9,0,0,
2810601007,Parla--2810601007--,1282.94,21,8.33333,1,
2810601008,Parla--2810601008--,1412.65,21,0,0,
2810601009,Parla--2810601009--,1532.11,15,0,0,
2810601010,Parla--2810601010--,1390.15,20,0,0,
2810601011,Parla--2810601011--,1238.66,18,0,0,
2810601012,Parla--2810601012--,1259,20,10.4348,1,
2810601013,Parla--2810601013--,1277.71,18,0,0,
2810601014,Parla--2810601014--,1305.06,13,0,0,
2810601015,Parla--2810601015--,1320.76,11,0,0,
2810601016,Parla--2810601016--,1483.95,30,6.88855,2,
2810601017,Parla--2810601017--,1312.83,26,0,0,
2810601018,Parla--2810601018--,1446.69,4,6.45833,1,
2810601019,Parla--2810601019--,1401.29,7,0,0,
2810601020,Parla--2810601020--,1083.04,7,0,0,
2810601021,Parla--2810601021--,1832.89,30,0,0,
2810601022,Parla--2810601022--,1329.46,8,0,0,
2810601023,Parla--2810601023--,1414.46,30,5.98901,2,
2810601024,Parla--2810601024--,1321.37,22,8.41872,2,
2810601025,Parla--2810601025--,1249.72,5,0,0,
2810601026,Parla--2810601026--,1227.11,23,0,0,
2810601027,Parla--2810601027--,1465.41,7,0,0,
2810601028,Parla--2810601028--,1508.09,29,7.80938,28,
2810601029,Parla--2810601029--,1372.7,30,7.55709,2,
2810601030,Parla--2810601030--,1311.98,21,8.41872,2,
2810601031,Parla--2810601031--,1310.31,16,7.93333,1,
2810601032,Parla--2810601032--,1327.96,2,12.4219,1,
2810601033,Parla--2810601033--,1609.05,2,9.04494,1,
2810601034,Parla--2810601034--,1492.24,21,0,0,
2810601035,Parla--2810601035--,1352.19,23,7.77778,1,
2810601036,Parla--2810601036--,1368.37,16,0,0,
2810601037,Parla--2810601037--,1333.19,7,0,0,
2810601038,Parla--2810601038--,1385.54,21,7.97386,2,
2810601039,Parla--2810601039--,1901.99,3,0,0,
2810601040,Parla--2810601040--,1536.31,29,8.05205,28,
2810601041,Parla--2810601041--,1305.82,22,7.19671,2,
2810601042,Parla--2810601042--,1337.65,10,6.94444,1,
2810601043,Parla--2810601043--,1422.9,27,8.13587,6,
2810601044,Parla--2810601044--,1689.95,28,7.44898,1,
2810601045,Parla--2810601045--,1548.58,8,0,0,
2810601046,Parla--2810601046--,1382.46,26,12.4219,1,
2810601047,Parla--2810601047--,1586.63,5,0,0,
2810601048,Parla--2810601048--,1417.93,28,5.21373,3,
2810601049,Parla--2810601049--,1908.08,13,0,0,
2810601050,Parla--2810601050--,1783.36,11,0,0,
2810601051,Parla--2810601051--,1463.98,11,0,0,
2810601052,Parla--2810601052--,1681.27,30,8.09878,3,
2810601053,Parla--2810601053--,1691.86,24,7.22222,1,
2810601054,Parla--2810601054--,1744.71,5,7.42574,1,
2810601055,Parla--2810601055--,1271.88,7,7.44898,1,
2810601056,Parla--2810601056--,1757.79,20,0,0,
2810601057,Parla--2810601057--,1772,25,0,0,
2810601058,Parla--2810601058--,1451.87,30,6.88254,7,
2810601059,Parla--2810601059--,2206.34,18,0,0,
2810601060,Parla--2810601060--,2611.96,11,0,0,
2810601061,Parla--2810601061--,1725.65,30,6.66486,4,
2810601062,Parla--2810601062--,1615.74,20,8.59859,4,
