cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2811301001,Pinto--2811301001--,1676.32,18,8.97678,3,
2811301002,Pinto--2811301002--,1613.34,30,9.32445,5,
2811301003,Pinto--2811301003--,2128.54,18,10.0785,8,
2811301004,Pinto--2811301004--,2194.37,11,9.39937,6,
2811301005,Pinto--2811301005--,1699.58,30,8.03943,5,
2811301006,Pinto--2811301006--,1844.27,28,9.22093,28,
2811301007,Pinto--2811301007--,1973.01,14,0,0,
2811301008,Pinto--2811301008--,1710.6,28,9.26612,5,
2811301009,Pinto--2811301009--,2015.54,10,9.21948,3,
2811301010,Pinto--2811301010--,2208.07,26,9.71157,2,
2811301011,Pinto--2811301011--,2257.08,24,0,0,
2811301012,Pinto--2811301012--,2189.66,4,7.68162,3,
2811302001,Pinto--2811302001--,1672.56,20,7.89062,2,
2811302002,Pinto--2811302002--,1963.17,28,0,0,
2811302003,Pinto--2811302003--,2060.62,16,0,0,
2811302004,Pinto--2811302004--,1633.59,30,8.05512,9,
2811302005,Pinto--2811302005--,1664.02,12,7.79375,3,
2811302006,Pinto--2811302006--,1632.91,20,8.21176,2,
2811302007,Pinto--2811302007--,1954.04,27,8.88529,5,
2811302008,Pinto--2811302008--,1929.99,5,0,0,
2811302009,Pinto--2811302009--,1736.14,6,0,0,
2811302010,Pinto--2811302010--,2350.29,24,8.72757,12,
2811302011,Pinto--2811302011--,1719.34,7,0,0,
2811302012,Pinto--2811302012--,1901.33,18,8.88529,5,
2811302013,Pinto--2811302013--,1823.97,30,9.06667,5,
