cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2811501001,Pozuelo de Alarcón--2811501001--,2733.75,29,11.9865,9,
2811501002,Pozuelo de Alarcón--2811501002--,706.882,29,9.34391,14,
2811501004,Pozuelo de Alarcón--2811501004--,2220.84,3,0,0,
2811501005,Pozuelo de Alarcón--2811501005--,2524.51,23,10.3571,2,
2811501006,Pozuelo de Alarcón--2811501006--,1792.17,28,11.6261,30,
2811501007,Pozuelo de Alarcón--2811501007--,3113.21,2,11.0094,3,
2811501008,Pozuelo de Alarcón--2811501008--,2506.22,12,11.0094,3,
2811501009,Pozuelo de Alarcón--2811501009--,2667.04,7,10,1,
2811501010,Pozuelo de Alarcón--2811501010--,445.325,28,10.366,5,
2811501011,Pozuelo de Alarcón--2811501011--,1838.29,8,16.1319,2,
2811501012,Pozuelo de Alarcón--2811501012--,942.987,22,9.50288,12,
2811501013,Pozuelo de Alarcón--2811501013--,2578.58,10,11.0094,3,
2811501014,Pozuelo de Alarcón--2811501014--,2021.3,13,0,0,
2811501015,Pozuelo de Alarcón--2811501015--,2782.71,17,14.6429,2,
2811501016,Pozuelo de Alarcón--2811501016--,2337.6,26,9.47159,1,
2811501017,Pozuelo de Alarcón--2811501017--,3601.57,14,12.1943,6,
2811501018,Pozuelo de Alarcón--2811501018--,3137.94,30,10.626,10,
2811501019,Pozuelo de Alarcón--2811501019--,1454.77,30,8.93653,6,
2811501020,Pozuelo de Alarcón--2811501020--,147.475,30,9.0269,30,
2811501021,Pozuelo de Alarcón--2811501021--,1697.01,4,0,0,
2811501022,Pozuelo de Alarcón--2811501022--,632.986,27,8.88173,13,
2811501023,Pozuelo de Alarcón--2811501023--,1454.94,9,10.4352,3,
2811501024,Pozuelo de Alarcón--2811501024--,280.972,30,8.75371,23,
2811501025,Pozuelo de Alarcón--2811501025--,3814.05,13,13.6752,1,
2811501026,Pozuelo de Alarcón--2811501026--,4002.83,12,12.5747,12,
2811501027,Pozuelo de Alarcón--2811501027--,2851.34,18,9.52381,1,
2811501028,Pozuelo de Alarcón--2811501028--,2227.33,29,10.437,30,
2811501029,Pozuelo de Alarcón--2811501029--,3039.53,30,11.0095,13,
2811501030,Pozuelo de Alarcón--2811501030--,3530.13,17,10.559,5,
2811502001,Pozuelo de Alarcón--2811502001--,2097.61,18,8.59355,2,
2811502002,Pozuelo de Alarcón--2811502002--,2120.23,29,10.9446,7,
2811502003,Pozuelo de Alarcón--2811502003--,2917.22,9,17.1563,4,
2811502004,Pozuelo de Alarcón--2811502004--,3103.24,15,11.5482,15,
2811502005,Pozuelo de Alarcón--2811502005--,3479.98,21,8.64286,2,
2811502006,Pozuelo de Alarcón--2811502006--,2093.38,29,17.4885,5,
2811502007,Pozuelo de Alarcón--2811502007--,2434.73,18,15.4036,5,
2811502008,Pozuelo de Alarcón--2811502008--,2433.48,22,9.03256,2,
2811502009,Pozuelo de Alarcón--2811502009--,3627.64,17,11.9239,8,
2811502010,Pozuelo de Alarcón--2811502010--,1470.96,28,12.5346,30,
2811502011,Pozuelo de Alarcón--2811502011--,2069.53,14,0,0,
2811502012,Pozuelo de Alarcón--2811502012--,3225.19,22,9.14839,8,
2811502013,Pozuelo de Alarcón--2811502013--,2761.41,10,13.2029,15,
2811502014,Pozuelo de Alarcón--2811502014--,3901.79,30,12.3579,30,
2811502015,Pozuelo de Alarcón--2811502015--,3369.26,24,8.31153,3,
2811502016,Pozuelo de Alarcón--2811502016--,2325.9,9,7.14286,1,
2811502017,Pozuelo de Alarcón--2811502017--,2150.99,8,9.08823,3,
2811502018,Pozuelo de Alarcón--2811502018--,3860.81,16,12.6688,9,
2811502019,Pozuelo de Alarcón--2811502019--,3420.48,10,14.7425,3,
2811502020,Pozuelo de Alarcón--2811502020--,4308.41,12,12.5,1,
2811502021,Pozuelo de Alarcón--2811502021--,2850.37,29,9.14839,8,
