cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2812301001,Rivas-Vaciamadrid--2812301001--,1731.06,22,8.3862,29,
2812301002,Rivas-Vaciamadrid--2812301002--,1643.25,5,7.41667,2,
2812301003,Rivas-Vaciamadrid--2812301003--,1651.81,8,0,0,
2812301004,Rivas-Vaciamadrid--2812301004--,1833.25,9,12.7764,3,
2812301005,Rivas-Vaciamadrid--2812301005--,1845.63,13,7.97035,3,
2812301006,Rivas-Vaciamadrid--2812301006--,1682.98,28,5.39024,1,
2812301007,Rivas-Vaciamadrid--2812301007--,1603.6,13,7.41667,2,
2812301008,Rivas-Vaciamadrid--2812301008--,1681.68,15,5.39024,1,
2812301009,Rivas-Vaciamadrid--2812301009--,1574.79,6,7.41667,2,
2812301010,Rivas-Vaciamadrid--2812301010--,1853.93,6,0,0,
2812301011,Rivas-Vaciamadrid--2812301011--,1579.43,6,0,0,
2812301012,Rivas-Vaciamadrid--2812301012--,1712.71,24,6.69398,4,
2812301013,Rivas-Vaciamadrid--2812301013--,1809.9,9,7.44361,1,
2812301014,Rivas-Vaciamadrid--2812301014--,1783.47,6,0,0,
2812301015,Rivas-Vaciamadrid--2812301015--,1896.39,3,6.53846,1,
2812301016,Rivas-Vaciamadrid--2812301016--,1901.22,16,10.7578,8,
2812301017,Rivas-Vaciamadrid--2812301017--,1855.56,28,9.89907,2,
2812301018,Rivas-Vaciamadrid--2812301018--,1869.37,8,10.8696,1,
2812301019,Rivas-Vaciamadrid--2812301019--,2098.26,6,10.8696,1,
2812301020,Rivas-Vaciamadrid--2812301020--,2191.19,12,8.37602,6,
2812301021,Rivas-Vaciamadrid--2812301021--,1763.1,16,8.59988,4,
2812301022,Rivas-Vaciamadrid--2812301022--,1831.57,4,0,0,
2812301023,Rivas-Vaciamadrid--2812301023--,2171.27,30,6.00379,2,
2812301024,Rivas-Vaciamadrid--2812301024--,1856.94,23,12.0927,2,
2812301025,Rivas-Vaciamadrid--2812301025--,1946.63,12,8.52632,2,
2812301026,Rivas-Vaciamadrid--2812301026--,1679.89,13,0,0,
2812301027,Rivas-Vaciamadrid--2812301027--,1585.72,3,0,0,
2812301028,Rivas-Vaciamadrid--2812301028--,1743.8,10,6.97103,2,
2812301029,Rivas-Vaciamadrid--2812301029--,2134,16,0,0,
2812301030,Rivas-Vaciamadrid--2812301030--,1991.67,30,7.96481,3,
2812301031,Rivas-Vaciamadrid--2812301031--,1998.38,5,10.3128,6,
2812301032,Rivas-Vaciamadrid--2812301032--,1922.65,19,0,0,
2812301033,Rivas-Vaciamadrid--2812301033--,2077.86,30,0,0,
2812301034,Rivas-Vaciamadrid--2812301034--,2037.61,13,0,0,
2812301035,Rivas-Vaciamadrid--2812301035--,2146.7,30,7.53545,2,
2812301036,Rivas-Vaciamadrid--2812301036--,2067.23,18,8.42962,2,
