cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2813001001,San Fernando de Henares--2813001001--,1996.66,27,9.04653,26,
2813001002,San Fernando de Henares--2813001002--,1869.95,13,0,0,
2813001003,San Fernando de Henares--2813001003--,2268.47,2,8,1,
2813001004,San Fernando de Henares--2813001004--,2199.07,16,10.8889,3,
2813001005,San Fernando de Henares--2813001005--,1848.35,21,11.7037,3,
2813001006,San Fernando de Henares--2813001006--,1776.03,18,12.298,2,
2813001007,San Fernando de Henares--2813001007--,2025.25,12,0,0,
2813001008,San Fernando de Henares--2813001008--,2323.08,1,9,1,
2813001009,San Fernando de Henares--2813001009--,2398.7,6,8,1,
2813001010,San Fernando de Henares--2813001010--,1935.68,2,0,0,
2813001011,San Fernando de Henares--2813001011--,2097.9,16,10,4,
2813001012,San Fernando de Henares--2813001012--,1964.71,1,0,0,
2813001013,San Fernando de Henares--2813001013--,2148.03,3,9.91667,2,
2813001014,San Fernando de Henares--2813001014--,1977.28,5,0,0,
2813001015,San Fernando de Henares--2813001015--,2295.5,4,10.7738,2,
2813001016,San Fernando de Henares--2813001016--,2155.59,7,9.96032,3,
2813001017,San Fernando de Henares--2813001017--,2197.31,15,8.33333,1,
2813001018,San Fernando de Henares--2813001018--,2323.97,12,8.33333,1,
2813001019,San Fernando de Henares--2813001019--,2116.16,4,0,0,
2813001020,San Fernando de Henares--2813001020--,1687.21,3,0,0,
2813001021,San Fernando de Henares--2813001021--,2196,17,9.66667,3,
2813001022,San Fernando de Henares--2813001022--,2323.08,1,0,0,
