cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2813401001,San Sebastián de los Reyes--2813401001--,2462.5,3,0,0,
2813401002,San Sebastián de los Reyes--2813401002--,2005.8,3,10,1,
2813401003,San Sebastián de los Reyes--2813401003--,2105.96,13,6.875,1,
2813401004,San Sebastián de los Reyes--2813401004--,2421.19,3,10.8642,1,
2813401005,San Sebastián de los Reyes--2813401005--,2027.1,8,9.15179,2,
2813401006,San Sebastián de los Reyes--2813401006--,2346.08,6,12.7898,2,
2813401007,San Sebastián de los Reyes--2813401007--,2786.32,5,0,0,
2813401008,San Sebastián de los Reyes--2813401008--,3042.69,27,9.30873,3,
2813401009,San Sebastián de los Reyes--2813401009--,2538.65,30,11.2579,3,
2813401010,San Sebastián de los Reyes--2813401010--,2828.38,11,12.963,1,
2813401011,San Sebastián de los Reyes--2813401011--,2864.21,26,0,0,
2813401012,San Sebastián de los Reyes--2813401012--,2680.55,14,0,0,
2813401014,San Sebastián de los Reyes--2813401014--,1984.25,6,0,0,
2813401015,San Sebastián de los Reyes--2813401015--,2450.25,19,8.55801,2,
2813401016,San Sebastián de los Reyes--2813401016--,1916.68,9,0,0,
2813401017,San Sebastián de los Reyes--2813401017--,2261.67,17,9.77011,1,
2813401018,San Sebastián de los Reyes--2813401018--,2326.12,14,0,0,
2813401019,San Sebastián de los Reyes--2813401019--,2309.91,25,9.77011,1,
2813401020,San Sebastián de los Reyes--2813401020--,2390.28,9,0,0,
2813401021,San Sebastián de los Reyes--2813401021--,2637.6,10,10.8108,1,
2813401022,San Sebastián de los Reyes--2813401022--,2960.55,5,10.86,2,
2813401023,San Sebastián de los Reyes--2813401023--,2097.95,2,12.5882,1,
2813401024,San Sebastián de los Reyes--2813401024--,2430.67,5,11.436,3,
2813401025,San Sebastián de los Reyes--2813401025--,2499.3,10,14.7059,1,
2813401026,San Sebastián de los Reyes--2813401026--,2825,3,0,0,
2813401027,San Sebastián de los Reyes--2813401027--,2545.46,27,12.5,1,
2813401028,San Sebastián de los Reyes--2813401028--,2533.04,14,12.5,1,
2813401029,San Sebastián de los Reyes--2813401029--,2686.53,7,12.6271,1,
2813401030,San Sebastián de los Reyes--2813401030--,2530.22,6,0,0,
2813401031,San Sebastián de los Reyes--2813401031--,2539.1,5,0,0,
2813401032,San Sebastián de los Reyes--2813401032--,1119.92,30,7.73023,19,
2813401033,San Sebastián de los Reyes--2813401033--,1695.01,28,10.0768,29,
2813401034,San Sebastián de los Reyes--2813401034--,2707.63,3,12.6271,1,
2813401035,San Sebastián de los Reyes--2813401035--,2981.84,5,0,0,
2813401036,San Sebastián de los Reyes--2813401036--,2478.15,5,13.0952,1,
2813401037,San Sebastián de los Reyes--2813401037--,2697.69,11,7.14286,1,
2813401038,San Sebastián de los Reyes--2813401038--,2515.46,30,10.264,30,
2813401039,San Sebastián de los Reyes--2813401039--,2618.3,6,0,0,
2813401040,San Sebastián de los Reyes--2813401040--,2268.26,3,0,0,
2813401041,San Sebastián de los Reyes--2813401041--,2547.41,15,10.7443,4,
2813401042,San Sebastián de los Reyes--2813401042--,2756.56,30,10.8298,11,
2813401043,San Sebastián de los Reyes--2813401043--,2076.86,12,7.63233,5,
2813401044,San Sebastián de los Reyes--2813401044--,2675.74,24,10.4499,6,
2813401045,San Sebastián de los Reyes--2813401045--,3139.72,8,9.81934,5,
2813401046,San Sebastián de los Reyes--2813401046--,2264.42,16,11.4286,9,
2813401047,San Sebastián de los Reyes--2813401047--,2615.37,28,10.5913,29,
2813401048,San Sebastián de los Reyes--2813401048--,3377.69,5,10.2609,7,
2813401049,San Sebastián de los Reyes--2813401049--,2620.5,13,0,0,
