cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2814801001,Torrejón de Ardoz--2814801001--,2116.7,10,0,0,
2814801002,Torrejón de Ardoz--2814801002--,2116.92,7,0,0,
2814801003,Torrejón de Ardoz--2814801003--,1702.38,1,0,0,
2814801004,Torrejón de Ardoz--2814801004--,1702.38,1,0,0,
2814801005,Torrejón de Ardoz--2814801005--,1948.93,7,0,0,
2814801006,Torrejón de Ardoz--2814801006--,2045.52,7,0,0,
2814801007,Torrejón de Ardoz--2814801007--,2058.78,23,0,0,
2814801008,Torrejón de Ardoz--2814801008--,2137.72,2,0,0,
2814801009,Torrejón de Ardoz--2814801009--,2413.02,8,0,0,
2814801010,Torrejón de Ardoz--2814801010--,1840.71,5,8.04598,1,
2814801011,Torrejón de Ardoz--2814801011--,1938.1,2,0,0,
2814801012,Torrejón de Ardoz--2814801012--,2360.67,30,0,0,
2814801013,Torrejón de Ardoz--2814801013--,1510.56,5,0,0,
2814801014,Torrejón de Ardoz--2814801014--,1573.94,6,0,0,
2814801015,Torrejón de Ardoz--2814801015--,1837.29,25,0,0,
2814801016,Torrejón de Ardoz--2814801016--,2163.1,5,0,0,
2814801017,Torrejón de Ardoz--2814801017--,1987.74,10,0,0,
2814801018,Torrejón de Ardoz--2814801018--,2187.5,1,0,0,
2814801019,Torrejón de Ardoz--2814801019--,1708.14,28,7.80657,7,
2814801020,Torrejón de Ardoz--2814801020--,1822.72,26,7.8,1,
2814801021,Torrejón de Ardoz--2814801021--,1964.67,16,7.8,1,
2814801022,Torrejón de Ardoz--2814801022--,1883.3,7,8.4375,2,
2814801023,Torrejón de Ardoz--2814801023--,1979.83,18,7.89444,4,
2814801024,Torrejón de Ardoz--2814801024--,2462.18,5,0,0,
2814802001,Torrejón de Ardoz--2814802001--,2061.93,27,8.37275,4,
2814802002,Torrejón de Ardoz--2814802002--,2017.19,9,0,0,
2814802003,Torrejón de Ardoz--2814802003--,1659.05,3,0,0,
2814802004,Torrejón de Ardoz--2814802004--,1540.15,5,0,0,
2814802005,Torrejón de Ardoz--2814802005--,2098.69,25,0,0,
2814802006,Torrejón de Ardoz--2814802006--,1695.72,9,0,0,
2814802007,Torrejón de Ardoz--2814802007--,1952.37,30,0,0,
2814802008,Torrejón de Ardoz--2814802008--,1788.35,27,4.20604,2,
2814802009,Torrejón de Ardoz--2814802009--,1814.81,28,5.60638,3,
2814802010,Torrejón de Ardoz--2814802010--,1979.87,8,4.20604,2,
2814802011,Torrejón de Ardoz--2814802011--,1498.19,16,7.0354,2,
2814802012,Torrejón de Ardoz--2814802012--,1375.9,4,0,0,
2814802013,Torrejón de Ardoz--2814802013--,1216.96,3,7.0354,2,
2814802014,Torrejón de Ardoz--2814802014--,1558.3,9,0,0,
2814802015,Torrejón de Ardoz--2814802015--,1799.23,26,7.82143,2,
2814802016,Torrejón de Ardoz--2814802016--,1784.56,27,13.0081,1,
2814802017,Torrejón de Ardoz--2814802017--,1727.91,13,0,0,
2814802018,Torrejón de Ardoz--2814802018--,1690.34,28,7.49263,3,
2814802019,Torrejón de Ardoz--2814802019--,2151.59,19,10,1,
2814802020,Torrejón de Ardoz--2814802020--,1762.39,10,0,0,
2814802021,Torrejón de Ardoz--2814802021--,2107.99,28,10.5497,7,
2814802022,Torrejón de Ardoz--2814802022--,2001.65,29,9.6143,17,
2814803001,Torrejón de Ardoz--2814803001--,1838.97,9,8.5,1,
2814803002,Torrejón de Ardoz--2814803002--,1675.37,10,0,0,
2814803003,Torrejón de Ardoz--2814803003--,1860.83,28,7.8,1,
2814803005,Torrejón de Ardoz--2814803005--,2029.01,28,7.67676,5,
2814803006,Torrejón de Ardoz--2814803006--,2241.95,28,7.37522,2,
2814803007,Torrejón de Ardoz--2814803007--,2284.87,25,7.37522,2,
2814803008,Torrejón de Ardoz--2814803008--,2059.11,29,7.6405,5,
2814803009,Torrejón de Ardoz--2814803009--,2200.18,27,0,0,
2814804001,Torrejón de Ardoz--2814804001--,2012.02,27,10.5983,3,
2814804002,Torrejón de Ardoz--2814804002--,1833.1,29,10.2308,2,
2814804003,Torrejón de Ardoz--2814804003--,2011.98,30,0,0,
2814804004,Torrejón de Ardoz--2814804004--,1797.38,27,10.3943,4,
2814804005,Torrejón de Ardoz--2814804005--,1669.36,16,0,0,
2814804006,Torrejón de Ardoz--2814804006--,1680.52,30,0,0,
2814804007,Torrejón de Ardoz--2814804007--,1788.93,15,0,0,
2814804008,Torrejón de Ardoz--2814804008--,1681.64,9,0,0,
2814804009,Torrejón de Ardoz--2814804009--,1789.48,7,0,0,
2814804010,Torrejón de Ardoz--2814804010--,1934.34,8,0,0,
2814804011,Torrejón de Ardoz--2814804011--,1946.44,6,7.22222,1,
2814804012,Torrejón de Ardoz--2814804012--,1336.42,4,0,0,
2814804013,Torrejón de Ardoz--2814804013--,1407.63,7,7.22222,1,
2814804014,Torrejón de Ardoz--2814804014--,1686.02,30,7.69562,2,
2814804015,Torrejón de Ardoz--2814804015--,1503.36,15,0,0,
2814804016,Torrejón de Ardoz--2814804016--,1208.53,3,0,0,
2814804017,Torrejón de Ardoz--2814804017--,1696.09,27,7.69961,2,
2814804018,Torrejón de Ardoz--2814804018--,1879.73,19,10,1,
