cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2815201001,Torrelodones--2815201001--,2466.7,30,11.9588,5,
2815201002,Torrelodones--2815201002--,1615.86,30,10.3834,7,
2815201003,Torrelodones--2815201003--,1972.5,30,8.26832,21,
2815201004,Torrelodones--2815201004--,2476.11,26,0,0,
2815201005,Torrelodones--2815201005--,2100.42,29,9.53123,23,
2815201006,Torrelodones--2815201006--,1438.02,30,4.84406,2,
2815201007,Torrelodones--2815201007--,1937.76,30,9.74204,7,
2815201008,Torrelodones--2815201008--,2238.17,29,9.10684,8,
2815201009,Torrelodones--2815201009--,1523.51,29,5.32198,5,
2815201010,Torrelodones--2815201010--,2245.89,19,17.5,2,
