cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2890301001,Tres Cantos--2890301001--,2802.72,8,10,2,
2890301002,Tres Cantos--2890301002--,2875.69,6,9.9033,3,
2890301003,Tres Cantos--2890301003--,2657.7,14,14.3056,2,
2890301004,Tres Cantos--2890301004--,3346.09,12,10.3511,2,
2890301005,Tres Cantos--2890301005--,3477.27,4,9.73342,2,
2890301006,Tres Cantos--2890301006--,2560.71,8,8.21181,2,
2890301007,Tres Cantos--2890301007--,2400.42,30,10.2127,28,
2890301008,Tres Cantos--2890301008--,5083.33,1,9.35495,2,
2890301009,Tres Cantos--2890301009--,2289.55,7,9.28406,3,
2890301010,Tres Cantos--2890301010--,2666.12,2,0,0,
2890301011,Tres Cantos--2890301011--,0,0,6.94444,1,
2890301012,Tres Cantos--2890301012--,2264.67,6,0,0,
2890301013,Tres Cantos--2890301013--,1289.05,29,0,0,
2890301014,Tres Cantos--2890301014--,2716.1,5,10.2041,3,
2890301015,Tres Cantos--2890301015--,3283.02,5,14.1667,1,
2890301016,Tres Cantos--2890301016--,2933.59,5,11.3758,4,
2890301017,Tres Cantos--2890301017--,2803.02,7,10.9125,5,
2890301018,Tres Cantos--2890301018--,2393.04,4,12.2222,1,
2890301019,Tres Cantos--2890301019--,2608.13,14,12.1739,1,
2890301020,Tres Cantos--2890301020--,2855.72,3,10.2319,6,
2890301021,Tres Cantos--2890301021--,2496.14,5,0,0,
2890301022,Tres Cantos--2890301022--,3142.13,9,9.84848,3,
