cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2816101001,Valdemoro--2816101001--,1642.98,28,9.48857,3,
2816101002,Valdemoro--2816101002--,1804.15,23,7.5,1,
2816101003,Valdemoro--2816101003--,1412.49,30,8.14313,2,
2816101004,Valdemoro--2816101004--,1356.43,25,11.7241,1,
2816101005,Valdemoro--2816101005--,1801.71,28,9.28571,1,
2816101006,Valdemoro--2816101006--,1624.51,21,7.5,1,
2816101007,Valdemoro--2816101007--,1584.26,28,7.11069,3,
2816101008,Valdemoro--2816101008--,1606.91,29,8.52463,2,
2816101009,Valdemoro--2816101009--,1536.09,20,8.4507,1,
2816101010,Valdemoro--2816101010--,1673.2,30,7.52742,12,
2816101011,Valdemoro--2816101011--,1433.38,30,4.4,1,
2816101012,Valdemoro--2816101012--,1667.32,17,0,0,
2816101013,Valdemoro--2816101013--,1738.57,28,0,0,
2816101014,Valdemoro--2816101014--,1825.16,7,6.5251,4,
2816101015,Valdemoro--2816101015--,1536.78,25,4.54043,2,
2816101016,Valdemoro--2816101016--,1526.27,28,8.01882,18,
2816101017,Valdemoro--2816101017--,1506.05,11,10,1,
2816101018,Valdemoro--2816101018--,1448.14,29,6.10584,23,
2816101019,Valdemoro--2816101019--,1447.05,27,7.08495,5,
2816101020,Valdemoro--2816101020--,1206.43,18,5.64547,4,
2816101021,Valdemoro--2816101021--,1437.03,30,5.5087,13,
2816102001,Valdemoro--2816102001--,1383.7,30,9.06667,1,
2816102002,Valdemoro--2816102002--,1642.52,25,9.36667,2,
2816102003,Valdemoro--2816102003--,1653.33,30,8.654,6,
2816102004,Valdemoro--2816102004--,1761.84,30,8.2975,4,
2816102005,Valdemoro--2816102005--,1524.48,27,6.71846,2,
2816102006,Valdemoro--2816102006--,1638.56,30,7.92277,14,
2816102007,Valdemoro--2816102007--,2083.04,30,8.31169,2,
2816102008,Valdemoro--2816102008--,1700.79,24,7.92308,1,
2816102009,Valdemoro--2816102009--,1416.93,30,8.06434,4,
2816102010,Valdemoro--2816102010--,1249.27,20,9.48276,1,
2816102011,Valdemoro--2816102011--,1540.52,30,7.57576,1,
2816102012,Valdemoro--2816102012--,1153.45,9,0,0,
