cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2818101001,Villaviciosa de Odón--2818101001--,2410.43,30,11.4892,17,
2818101002,Villaviciosa de Odón--2818101002--,2365.42,30,11.6458,16,
2818101003,Villaviciosa de Odón--2818101003--,1508.1,28,11.519,14,
2818101004,Villaviciosa de Odón--2818101004--,2534.32,21,12.0117,7,
2818101005,Villaviciosa de Odón--2818101005--,1854.38,30,32.6872,6,
2818101006,Villaviciosa de Odón--2818101006--,2490.91,30,11.4161,23,
2818101007,Villaviciosa de Odón--2818101007--,1707.56,29,9.17334,29,
2818101008,Villaviciosa de Odón--2818101008--,1652.12,29,11.8833,29,
2818101009,Villaviciosa de Odón--2818101009--,1504.67,29,3.81185,4,
2818101010,Villaviciosa de Odón--2818101010--,2277.31,30,10.8377,29,
2818101011,Villaviciosa de Odón--2818101011--,2475.57,30,13.5168,22,
2818101012,Villaviciosa de Odón--2818101012--,1533.38,30,7.68473,6,
2818101013,Villaviciosa de Odón--2818101013--,1463.04,17,10.3788,5,
2818101014,Villaviciosa de Odón--2818101014--,1508.22,17,11.0299,6,
2818101015,Villaviciosa de Odón--2818101015--,1643.68,29,10.07,18,
2818101016,Villaviciosa de Odón--2818101016--,1980.52,30,26.7753,8,
